"","Metabolite","Group1","Group2","P_Value","Higher_Group","p_value","Correct","IL_W_FUL_R10","IL_W_FUL_R4","IL_W_DES_R1","IL_W_DES_R6","IL_W_DES_R8","IL_D_WEB_R1","IL_D_WEB_R9","IL_D_CDB_R7","H_W_FUL_R10","H_W_DES_R10","H_W_FUL_R4","H_W_DES_R6","H_D_CDB_R10","H_D_CDB_R7","IL_W_FUL_R3","IL_D_CDB_R3","H_D_WEB_R1","IL_D_WEB_R2","H_D_WEB_R10","H_W_FUL_R9","H_D_CDB_R5","H_D_WEB_R5","H_W_DES_R8","IL_D_CDB_R1"
"1","Path341","DES","CDB",0.025974025974026,"DES",0.0148264700652195,"PWY-6953: dTDP-3-acetamido-&alpha;-D-fucose biosynthesis",240.2515021,162.5031716,158.1244438,176.5630123,162.0331785,170.1568386,129.9909339,60.48864943,222.2328665,104.8254489,130.5261106,84.74966317,45.31383868,77.28544102,120.8207773,70.74034144,154.0079134,115.169583,71.10075405,214.6300079,114.5255528,54.06249331,360.9125893,54.15210673
"2","Path341","FUL","CDB",0.012987012987013,"FUL",0.0148264700652195,"PWY-6953: dTDP-3-acetamido-&alpha;-D-fucose biosynthesis",240.2515021,162.5031716,158.1244438,176.5630123,162.0331785,170.1568386,129.9909339,60.48864943,222.2328665,104.8254489,130.5261106,84.74966317,45.31383868,77.28544102,120.8207773,70.74034144,154.0079134,115.169583,71.10075405,214.6300079,114.5255528,54.06249331,360.9125893,54.15210673
"3","Path434","DES","CDB",0.0454545454545455,"DES",0.0259718548422911,"PWY-7688: dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis",342.9754871,203.955121,321.7925813,193.3174561,162.4645323,171.8931829,125.6591574,119.0228724,348.4918878,163.6811614,230.4592026,182.9268521,67.3280907,184.9923503,118.6048223,74.01595407,231.7973416,176.0754451,86.00697568,211.145393,123.4167532,160.7444365,466.5055473,116.4876498
"4","Path434","FUL","CDB",0.0454545454545455,"FUL",0.0259718548422911,"PWY-7688: dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis",342.9754871,203.955121,321.7925813,193.3174561,162.4645323,171.8931829,125.6591574,119.0228724,348.4918878,163.6811614,230.4592026,182.9268521,67.3280907,184.9923503,118.6048223,74.01595407,231.7973416,176.0754451,86.00697568,211.145393,123.4167532,160.7444365,466.5055473,116.4876498
"5","Path1",NA,NA,NA,NA,0.734808259770037,"0D-BIOSYNTHESIS-II: 0D salvage pathway III (to nicoti0mide riboside)",0,231.3620963,10.10679966,0,0,0,0,0,38.28848196,38.06104227,19.93056162,0,0,113.5586421,0,0,31.51031699,0,0,0,15.73898291,26.4841586,149.1932142,85.22065286
"6","Path2",NA,NA,NA,NA,0.662350239131275,"0DSYN-PWY: 0D de novo biosynthesis II (from tryptophan)",234.9476771,2449.194858,1028.565803,369.7792486,155.2763688,399.5405294,933.9427045,258.796096,492.8351935,182.9405867,128.2082868,36.20690642,56.45272367,502.9196552,465.1982493,373.377677,109.0860226,353.3523216,211.4862781,111.1475756,119.68126,249.415204,530.5985535,447.0139442
"7","Path3",NA,NA,NA,NA,0.425088915664372,"0GLIPASYN-PWY: lipid IVA biosynthesis (E. coli)",553.2760089,4714.618138,1637.102139,516.6057632,447.8062001,553.1576618,1021.066059,236.065908,526.1499007,271.4891495,412.0236531,70.6333684,21.23688036,311.2169421,433.096464,652.4460552,38.68901964,138.7374131,166.5710958,232.2618629,121.059103,77.85395021,533.6117027,693.9901305
"8","Path4",NA,NA,NA,NA,0.350484923215943,"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation",81.93367335,253.9601258,118.1675937,95.3196647,195.883834,18.72065588,457.2736696,64.46654298,85.77947697,98.4667172,91.49524596,130.5601102,0,189.5419743,162.5341451,43.88593926,66.58129644,151.0988389,123.8044176,156.0340542,21.16597484,138.4652977,240.2195336,79.110612
"9","Path5",NA,NA,NA,NA,0.366570810784106,"14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation",17.71600845,826.559799,93.21969754,19.19487877,77.30830488,71.97864294,247.0408922,104.3853192,305.9969937,6.740409443,0,24.8611064,16.13022014,19.59555205,30.22980196,89.99005855,0,45.53622906,0,85.98206285,45.52087934,68.06839658,101.1887332,139.9830621
"10","Path6",NA,NA,NA,NA,0.269478892466218,"1CMET2-PWY: folate transformations III (E. coli)",3234.217718,10955.29,8153.296297,3461.992188,3977.59423,4249.620447,6294.632982,3783.968803,7149.638541,4837.095989,4880.942701,2394.737898,2721.958113,6183.48853,5349.956681,4387.442699,4199.556247,3563.856872,5050.301385,6419.378262,3323.09382,5187.062981,6870.466666,4735.564129
"11","Path7",NA,NA,NA,NA,0.650096951287082,"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation",0,126.9706494,0,0,0,20.73402272,11.75511598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.5538712
"12","Path8",NA,NA,NA,NA,0.523621644217708,"A0EROFRUCAT-PWY: homolactic fermentation",2409.82156,3743.515298,4353.486158,2444.562858,2428.492974,2787.825421,4005.997671,2369.229779,3944.510894,2871.157443,3146.501519,1638.608473,1405.397276,3535.455658,3266.827375,2942.100603,2527.728112,2402.685804,2621.306934,3267.501399,2767.44418,3612.258125,3901.441717,2819.79054
"13","Path9",NA,NA,NA,NA,0.292988964078257,"A0GLYCOLYSIS-PWY: glycolysis III (from glucose)",4754.837779,9309.584879,8416.294936,4301.414432,4433.679781,5061.072599,7425.09904,4331.552064,6915.399733,4891.732543,5286.968605,2859.599672,2655.9912,6337.379034,6173.132042,5422.195784,4527.334638,4369.397281,4867.052784,6370.059444,4461.394667,6264.464449,6823.009057,5183.368569
"14","Path10",NA,NA,NA,NA,0.413251914062459,"AEROBACTINSYN-PWY: aerobactin biosynthesis",0,155.9643823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Path11",NA,NA,NA,NA,0.166156373692438,"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast",154.5227614,680.39642,0,112.1654468,204.9828956,111.7645906,171.4963097,45.47546068,330.964943,0,241.7395262,0,0,236.1367634,63.06066353,179.5060732,127.1239635,79.16623197,98.14804217,0,0,31.44190776,126.3006067,94.31912636
"16","Path12",NA,NA,NA,NA,0.470224007489563,"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",1839.276912,3627.077046,2577.408521,1849.161878,2079.144096,2200.308219,2777.904702,1449.992458,1945.70913,1697.086063,1810.487371,1141.589269,882.9490999,1988.918889,2481.934049,2417.337149,1308.097994,1661.941263,1681.336621,1946.767825,1220.502151,1792.732275,2560.188317,2361.197439
"17","Path13",NA,NA,NA,NA,0.455866162587261,"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",62.82814621,635.2905157,47.15999508,0,0,0,381.2349338,0,99.58224206,0,0,0,28.05629251,46.56807071,0,0,0,0,0,0,0,0,19.91702447,0
"18","Path14",NA,NA,NA,NA,0.675894428567771,"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",1374.77927,2253.141799,2500.065844,890.6874666,967.8766783,1256.980542,2715.073314,957.3669366,1847.592643,971.8414,887.8623366,508.4912473,633.6451508,1781.852062,1709.374625,1447.698863,664.806897,867.2235791,782.2890881,1462.846542,563.6880959,1244.213798,1598.114159,1714.432361
