"Metabolite","p_value"
"Path1",0.462445314250981
"Path2",0.385205168874603
"Path3",0.178453141535088
"Path4",0.461317623221784
"Path5",0.390407986979988
"Path6",0.140965691581364
"Path7",0.859441059698856
"Path8",0.32819955656014
"Path9",0.218907441269165
"Path10",0.328183261880671
"Path11",0.319319501098494
"Path12",0.201086066349852
"Path13",0.581122809348255
"Path14",0.443835209370153
"Path15",0.238235477844729
"Path16",0.207672766327611
"Path17",0.152077501733933
"Path18",0.266289862733033
"Path19",0.521528362320066
"Path20",0.439820823543605
"Path21",0.304245698610122
"Path22",0.309070964296962
"Path23",0.28764015481136
"Path24",0.599510818867755
"Path25",0.506333859139158
"Path26",0.409481758734601
"Path27",0.116929496477034
"Path28",0.176308877382348
"Path29",0.0804252232343503
"Path30",0.388460146207748
"Path31",0.137697398171258
"Path32",0.46757019125606
"Path33",0.182707550387146
"Path34",0.947442470970642
"Path35",0.537258301423499
"Path36",0.328183261880669
"Path37",0.43543573492607
"Path38",0.166243140593842
"Path39",0.365427865381894
"Path40",0.224716586395518
"Path41",0.26539012267379
"Path42",0.464735963008711
"Path43",0.42287931560831
"Path44",0.224371429192068
"Path45",0.218920757360139
"Path46",0.68305737219476
"Path47",0.378871014469931
"Path48",0.0640602102249588
"Path49",0.911086092506131
"Path50",0.790930079939935
"Path51",0.306154398570521
"Path52",0.417624435750678
"Path53",0.378871014469931
"Path54",0.434424898421974
"Path55",0.374077358449535
"Path56",0.263852910370857
"Path57",0.815819910920297
"Path58",0.117112839761507
"Path59",0.545830026830687
"Path60",0.258888183681137
"Path61",0.823546818721886
"Path62",0.332147410963736
"Path63",0.328183261880671
"Path64",0.353379353939642
"Path65",0.357821370318492
"Path66",0.910412979060204
"Path67",0.543818071908692
"Path68",0.183844720157231
"Path69",0.179964949759323
"Path70",0.27615317273446
"Path71",0.121870522986606
"Path72",0.124377252269381
"Path73",0.135165155734774
"Path74",0.426951369689366
"Path75",0.414388532616225
"Path76",0.313461704113253
"Path77",0.423724764018824
"Path78",0.269310933767656
"Path79",0.449108664697941
"Path80",0.193052479114217
"Path81",0.328183261880671
"Path82",0.133166479946203
"Path83",0.226115334126798
"Path84",0.898059872589219
"Path85",0.130599367540429
"Path86",0.145071243715058
"Path87",0.339832637839419
"Path88",0.124208177247614
"Path89",0.581122809348255
"Path90",0.277002868200271
"Path91",0.308764327199843
"Path92",0.343497563386571
"Path93",0.794291558041777
"Path94",0.422333906919879
"Path95",0.287756536991124
"Path96",0.287647249466899
"Path97",0.305727648777436
"Path98",0.328183261880669
"Path99",0.667529686145854
"Path100",0.782770116144428
"Path101",0.906251432440827
"Path102",0.875435939685069
"Path103",0.489015670588271
"Path104",0.982710477126724
"Path105",0.396531998452876
"Path106",0.203633960356669
"Path107",0.526801850342569
"Path108",0.98287455362584
"Path109",0.317108574713408
"Path110",0.789788127194834
"Path111",0.51511647750014
"Path112",0.198688099702938
"Path113",0.303441050684179
"Path114",0.111418519427469
"Path115",0.215036934712551
"Path116",0.155296228568702
"Path117",0.222644076366094
"Path118",0.22195947077982
"Path119",0.852659170510408
"Path120",0.250245845424597
"Path121",0.787590780273658
"Path122",0.507681922665654
"Path123",0.877337268124519
"Path124",0.35569382358058
"Path125",0.32818326188067
"Path126",0.25144905059746
"Path127",0.173980506880006
"Path128",0.225520415279111
"Path129",0.830316578139783
"Path130",0.270325344916984
