"Metabolite","p_value"
"Path1",0.860862491715918
"Path2",0.165503831705902
"Path3",0.0969746055581527
"Path4",0.742206638517924
"Path5",0.51077809845217
"Path6",0.52903280837819
"Path7",0.472301283778712
"Path8",0.796953118075547
"Path9",0.519103472547925
"Path10",0.413251914062459
"Path11",0.563896180052489
"Path12",0.0332170828924145
"Path13",0.559935688166356
"Path14",0.22900473802777
"Path15",0.530550255782841
"Path16",0.370837230889425
"Path17",0.19301558686371
"Path18",0.0174178151784653
"Path19",0.671717046635854
"Path20",0.32972614759741
"Path21",0.736910226862095
"Path22",0.677959329572976
"Path23",0.60212348904107
"Path24",0.25956342236883
"Path25",0.819006181545307
"Path26",0.0620668883170532
"Path27",0.233683167313562
"Path28",0.24183443230817
"Path29",0.269055130250556
"Path30",0.594801483868993
"Path31",0.126630978644627
"Path32",0.00306961617838826
"Path33",0.341064002223045
"Path34",0.581452574720421
"Path35",1.17123005467539e-07
"Path36",0.41325191406246
"Path37",0.393104611863693
"Path38",0.22891189824925
"Path39",0.434724468303072
"Path40",0.428801624559177
"Path41",0.252466090149984
"Path42",0.343597844896535
"Path43",0.878248632399727
"Path44",0.584266861553616
"Path45",0.476875746810703
"Path46",0.784168657824626
"Path47",0.796249154267093
"Path48",0.0751084869847051
"Path49",0.000270380513891332
"Path50",0.00829669736677024
"Path51",0.622893256803763
"Path52",0.836054984639303
"Path53",0.796249154267093
"Path54",0.722654856716076
"Path55",0.00792314510635719
"Path56",0.653436913731813
"Path57",0.0170127077489159
"Path58",0.404618006849176
"Path59",0.00114294780785901
"Path60",0.060634056427229
"Path61",2.85459434170232e-05
"Path62",0.297747517638799
"Path63",0.41325191406246
"Path64",0.827469123263729
"Path65",0.772366215127866
"Path66",0.893424075454953
"Path67",0.397632556219274
"Path68",0.0432243987566722
"Path69",0.0531910205925993
"Path70",0.0969507809996634
"Path71",0.513606813450953
"Path72",0.405180089667664
"Path73",0.132157732181934
"Path74",0.0299809383979704
"Path75",0.597902033544274
"Path76",0.732443716248772
"Path77",0.694471609741145
"Path78",0.695069706255361
"Path79",0.663679127534602
"Path80",0.548852627484946
"Path81",0.41325191406246
"Path82",0.153099796134667
"Path83",0.29421200769409
"Path84",0.000314108190573057
"Path85",0.140712091951112
"Path86",0.240454296685404
"Path87",0.527064307729759
"Path88",0.0603617420189
"Path89",0.559935688166356
"Path90",0.316113772539688
"Path91",0.0713157486840025
"Path92",0.365974918324229
"Path93",0.229975019428621
"Path94",0.229802937188805
"Path95",0.353307635647477
"Path96",0.00309634754398198
"Path97",0.686585772232888
"Path98",0.41325191406246
"Path99",0.955399034945515
"Path100",0.0671057264764176
"Path101",0.000485891850062224
"Path102",0.000260514386197377
"Path103",0.0532141357899881
"Path104",6.10198407532493e-05
"Path105",0.0031566997547184
"Path106",0.0263773777153866
"Path107",0.861493134208224
"Path108",3.04668096230276e-05
"Path109",0.680849340807797
"Path110",3.85830186355177e-09
"Path111",0.00151632450410497
"Path112",0.471335637121967
"Path113",0.0361388638972845
"Path114",0.353210037469397
"Path115",0.384792690052056
"Path116",0.109753506829273
"Path117",0.0733554384342913
"Path118",0.000513900844105057
"Path119",0.956597248979943
"Path120",0.0177770056906233
"Path121",0.174158612800589
"Path122",0.0269086450195594
"Path123",0.276572317680272
"Path124",0.132542097067593
"Path125",0.413251914062459
"Path126",0.000517439330529634
"Path127",0.572687434646523
"Path128",0.0179663380897675
"Path129",4.30939643731776e-06
"Path130",0.734639570285375
"Path131",0.554955648307714
"Path132",0.00266794458858629
"Path133",0.311975690267714
"Path134",0.167299524023212
"Path135",0.0418065515334727
"Path136",0.0143077673887198
"Path137",0.522073259443645
"Path138",0.592231710283665
"Path139",0.413251914062459
"Path140",0.567974245599129
"Path141",0.334101739780329
"Path142",0.405838784576165
"Path143",0.981605744291124
"Path144",0.533033387665301
"Path145",0.243141556603743
"Path146",0.376281058033214
"Path147",0.41325191406246
"Path148",0.41325191406246
"Path149",0.320762443597235
"Path150",0.0131350991875268
"Path151",3.63599650564201e-07
"Path152",0.604428149716797
"Path153",0.751481286853192
"Path154",0.000565151796441949
"Path155",0.113082990161942
"Path156",0.354296218764183
"Path157",0.00271397805760918
"Path158",0.401640375772299
"Path159",0.762942320045967
"Path160",0.00397428327696507
"Path161",0.529237563220322
"Path162",0.192091454326999
"Path163",0.126283285525511
"Path164",0.747014879715073
"Path165",0.401743973714587
"Path166",0.16350494851325
"Path167",0.562131193175788
"Path168",0.536955824097632
"Path169",0.687635055788149
"Path170",0.0581923230331834
"Path171",0.00111889012318556
"Path172",0.218593232650477
"Path173",0.0462677903774512
"Path174",0.202855476612382
"Path175",0.413251914062461
"Path176",0.568666025826322
"Path177",0.164243356447062
"Path178",0.311887778373138
"Path179",0.120264749286975
"Path180",0.112718210272568
"Path181",0.955636287081675
"Path182",0.621563667141651
"Path183",0.371412901788766
"Path184",0.325990604793958
"Path185",0.536020062997971
"Path186",0.621563667141651
"Path187",0.413251914062461
"Path188",0.709226715904155
"Path189",0.0115128421922016
"Path190",0.194936811864131
"Path191",0.00022080032705187
"Path192",0.630403793317908
"Path193",0.283109699058101
"Path194",0.596159734611425
"Path195",0.153401581017862
"Path196",0.871456701050037
"Path197",0.590991548513288
"Path198",0.655152732524068
"Path199",0.180289554060839
"Path200",0.712418645942321
"Path201",0.299445877578556
"Path202",0.000352171008795394
"Path203",0.00472467869227324
"Path204",0.41325191406246
"Path205",0.1085019207795
"Path206",0.651879889761492
"Path207",0.586413845757015
"Path208",0.629533706250063
"Path209",0.960864267215234
"Path210",0.619998591306931
"Path211",0.000278609793825103
"Path212",0.140353087926686
"Path213",0.00470937860760705
"Path214",0.563923699258061
"Path215",0.54474660526687
"Path216",0.543969228800231
"Path217",0.494957949302841
"Path218",0.506492077356515
"Path219",0.0294918314003551
"Path220",0.503973783518635
"Path221",0.547133208640731
"Path222",0.499759073437589
"Path223",0.413251914062461
"Path224",0.506492077356515
"Path225",0.565632044058213
"Path226",0.565632044058213
"Path227",0.565632044058213
"Path228",0.469609801602731
"Path229",0.246076580294987
"Path230",0.190366160947561
"Path231",0.0233224846841345
"Path232",0.342750287430319
"Path233",0.937586948746103
"Path234",0.290921631334097
"Path235",0.113687039694147
"Path236",0.688058292514495
"Path237",0.51077809845217
"Path238",0.493978452389577
"Path239",0.493978452389577
"Path240",0.499809010895972
"Path241",0.498568743519522
"Path242",0.584555463827652
"Path243",0.536966941173387
"Path244",0.157437261665844
"Path245",0.13263832739578
"Path246",0.539038277166884
"Path247",0.235588758737197
"Path248",0.189884828922905
"Path249",0.102302921984894
"Path250",0.128363972642395
"Path251",0.345292969918936
"Path252",0.609366386273759
"Path253",0.381617831224675
"Path254",0.493978452389577
"Path255",0.782311484399173
"Path256",0.500972119237885
"Path257",0.428308113087223
"Path258",0.0257008013862468
"Path259",0.366695735018276
"Path260",0.413251914062459
"Path261",0.136364914061519
"Path262",0.536966941173387
"Path263",0.247995480343482
"Path264",0.300431434154128
"Path265",0.301865989030103
"Path266",0.045141643633018
"Path267",0.0255584906331168
"Path268",0.0522096838723596
"Path269",0.563385875696455
"Path270",0.413023916740056
"Path271",0.600674217114801
"Path272",0.285669963705594
"Path273",0.589671236096
"Path274",0.0686485472520055
"Path275",0.0832267836835696
"Path276",0.388636808583124
"Path277",0.048617248385487
"Path278",0.325761393702188
"Path279",0.0560693464257753
"Path280",0.0906129632321625
"Path281",0.108762722983326
"Path282",0.303624308300799
"Path283",0.121034962079196
"Path284",0.389013992021319
"Path285",0.270398586039012
"Path286",0.560842294388396
"Path287",0.105609575044456
"Path288",0.358498855305835
"Path289",0.103483993911941
"Path290",0.41325191406246
"Path291",0.298790011781265
"Path292",0.298365100376823
"Path293",0.328560797201312
"Path294",0.491019223673311
"Path295",0.591552402651029
"Path296",0.809616841599298
"Path297",0.448710587318381
"Path298",0.865801978398678
"Path299",0.794175665293747
"Path300",0.548124390388728
"Path301",0.274551363643903
"Path302",0.658607866839729
"Path303",0.279437790340187
"Path304",0.41325191406246
"Path305",0.474969020459511
"Path306",0.259228927618661
"Path307",0.0525722043909905
"Path308",0.476230373434149
"Path309",0.882123673481625
"Path310",0.65563483192098
"Path311",0.100355812861566
"Path312",0.647038846415571
"Path313",0.189730093037498
"Path314",0.397632556219274
"Path315",0.0572519773471154
"Path316",0.00121465995054315
"Path317",0.41325191406246
"Path318",0.41325191406246
"Path319",0.57077240513226
"Path320",0.399550565681977
"Path321",1.15075434388788e-06
"Path322",0.204208640592367
"Path323",0.579717240069407
"Path324",0.401407616392974
"Path325",0.213329498026983
"Path326",0.264527521449575
"Path327",0.413251914062459
"Path328",0.0279575271672435
"Path329",0.867578195483114
"Path330",0.34777636231135
"Path331",0.10532715434501
"Path332",0.328465333833114
"Path333",0.588752821494869
"Path334",0.636326295578218
"Path335",0.939301164911462
"Path336",0.138521631062708
"Path337",0.452887962807639
"Path338",0.413251914062459
"Path339",0.413251914062459
"Path340",0.183977278906881
"Path341",0.0270451742842002
"Path342",0.29504289179646
"Path343",0.520988861657538
"Path344",0.749787856924932
"Path345",0.41325191406246
"Path346",0.197903307249349
"Path347",0.000890148037427373
"Path348",0.413251914062461
"Path349",0.470556201583233
"Path350",0.247562551821379
"Path351",0.525660432663703
"Path352",0.454542015028791
"Path353",0.531015940867201
"Path354",0.534078253370084
"Path355",0.266899960556044
"Path356",0.0385936157108117
"Path357",0.0686485472520055
"Path358",0.000147669103935118
"Path359",0.779503827028829
"Path360",0.625303791589266
"Path361",0.274536738474731
"Path362",0.406010804852147
"Path363",0.666560547970117
"Path364",0.0141606681382069
"Path365",0.44737339793679
"Path366",0.557835876861991
"Path367",0.445917286998063
"Path368",0.413251914062459
"Path369",0.413251914062459
"Path370",0.0419454783423908
"Path371",0.375762549222271
"Path372",0.17818503945204
"Path373",0.191647161956944
"Path374",0.224920458527336
"Path375",0.774333290139378
"Path376",0.247684119569953
"Path377",0.450717030622808
"Path378",0.742638654939532
"Path379",0.413251914062461
"Path380",0.669144673637882
"Path381",0.632865020348007
"Path382",0.669144673637882
"Path383",0.646829734301127
"Path384",0.205227974474553
"Path385",0.705189265708757
"Path386",0.449265399024477
"Path387",0.0239184018269177
"Path388",0.0453399036303127
"Path389",0.228740298936384
"Path390",0.413251914062458
"Path391",0.427016252010679
"Path392",0.188543662553038
"Path393",0.288174456894291
"Path394",0.545143409223633
"Path395",6.25183612370881e-08
"Path396",0.401815834399565
"Path397",0.310121167710713
"Path398",0.41325191406246
"Path399",0.420622300414062
"Path400",0.478697822902601
"Path401",0.824327975356378
"Path402",0.496581220747708
"Path403",0.666698697120748
"Path404",0.666698697120748
"Path405",0.937447976951537
"Path406",0.0585928845923654
"Path407",0.436961009691008
"Path408",0.641130839514966
"Path409",0.728679281468934
"Path410",0.0758774861110609
"Path411",0.00486948610993339
"Path412",0.264284211754018
"Path413",0.461378753341537
"Path414",0.347145883110222
"Path415",0.41325191406246
"Path416",0.539394655021965
"Path417",0.986135616101043
"Path418",0.41325191406246
"Path419",0.163206338805089
"Path420",0.426127414394136
"Path421",0.603621959054656
"Path422",0.580135211748965
"Path423",0.413251914062458
"Path424",3.09044417844542e-08
"Path425",0.615080587372892
"Path426",0.512492503956168
"Path427",0.416719624624356
"Path428",0.546613565597675
"Path429",0.24119124860372
"Path430",0.500935111460722
"Path431",0.41325191406246
"Path432",0.269944651848768
"Path433",0.186127644452645
"Path434",0.0259360903677832
"Path435",0.413251914062459
"Path436",0.413251914062459
"Path437",0.188180855531151
"Path438",0.472855379911388
"Path439",0.491509375912584
"Path440",0.352162550409502
"Path441",0.122113275807935
"Path442",0.122289025883594
"Path443",0.0699712201797377
"Path444",0.0168052492660072
"Path445",0.148488216549562
"Path446",0.249750297172147
"Path447",0.296229800043332
"Path448",0.0345229293871989
"Path449",0.41325191406246
"Path450",0.413251914062459
"Path451",0.452672273540713
"Path452",0.41325191406246
"Path453",0.775942839727232
"Path454",0.0653976692997272
"Path455",0.632666361747877
"Path456",0.847545973428487
"Path457",0.296308153993855
"Path458",0.00101469487845231
"Path459",0.00956410157639191
"Path460",0.0969746055581527
"Path461",0.41325191406246
"Path462",0.421928438967836
"Path463",0.294251157772529
"Path464",0.0165053953264116
"Path465",0.0134642325940456
"Path466",0.413251914062461
"Path467",0.413251914062461
"Path468",0.413251914062461
"Path469",0.759301543214817
"Path470",0.217256932208685
"Path471",0.255597817983859
"Path472",0.358875295094493
"Path473",0.276572317680272
"Path474",0.276572317680272
"Path475",0.240458236275012
"Path476",0.176841147495306
"Path477",0.5598421102482
"Path478",0.0214848747886333
"Path479",0.62186824645155
"Path480",1.99890698162838e-05
"Path481",0.59397328935004
"Path482",0.385049427147465
"Path483",0.738239492007123
"Path484",0.119879803047409
"Path485",0.522289360063198
"Path486",0.299445877578556
"Path487",0.551061372984451
"Path488",0.601814286792444
"Path489",0.439138486609456
"Path490",0.752604981484682
"Path491",0.0167078628854658
"Path492",0.0167802006048542
"Path493",0.109711668151478
"Path494",0.145952139061079
"Path495",0.660060857887601
"Path496",0.493596964979448
"Path497",0.133964065017695
"Path498",0.327662030592336
"Path499",0.0512324636288263
"Path500",0.384427896841694
"Path501",0.063551388787834
"Path502",0.035408009508343
"Path503",0.695747614859318
"Path504",0.191144132292589
"Path505",0.0144470564997677
"Path506",4.88836196275025e-06
"Path507",0.262344454324373
"Path508",0.262344454324373
"Path509",0.1283447431549
"Path510",0.375722707508302
"Path511",0.107426052330358
"Path512",0.020518679404756
"Path513",0.0390666535544174
"Path514",0.883459350308675
"Path515",0.0750917544071811
"Path516",0.508170116768378
"Path517",0.615538267944639
"Path518",0.127427500331755
"Path519",0.027033186841969
"Path520",0.548262487609193
"Path521",0.388566504210005
"Path522",0.596240582255369
"Path523",0.256676764431964
"Path524",0.418139782699139
"Path525",0.515113182545003
"Path526",0.258719513490085
"Path527",0.173064857777131
"Path528",0.698433116858564
"Path529",0.0179441251295889
"Path530",0.519659961239385
"Path531",0.691477590009257
"Path532",0.64046486757967
"Path533",0.426107904050557
"Path534",0.253445089624241
"Path535",0.294608856259905
"Path536",0.249469978291407
"Path537",0.899143699454086
"Path538",0.41325191406246
"Path539",0.406395769548602
"Path540",0.34291743944591
"Path541",0.126858027605684
"Path542",0.0158107736072775
"Path543",0.453937095998632
"Path544",0.648012820778099
"Path545",0.464080192341024
"Path546",0.000513472641162822
"Path547",0.636382925281827
"Path548",0.705516800607735
