"Metabolite","p_value"
"Path1",0.717513674154782
"Path2",0.0494372638156193
"Path3",0.0550757616664004
"Path4",0.431273169790499
"Path5",0.202041539945793
"Path6",0.763657460691563
"Path7",0.10877892357308
"Path8",0.844246841816374
"Path9",0.380974604054667
"Path10",0.328183261880671
"Path11",0.342970901241977
"Path12",0.00900527392465073
"Path13",0.201409186107532
"Path14",0.0531559454008604
"Path15",0.410251243453923
"Path16",0.23659395819562
"Path17",0.108477037457833
"Path18",0.00456784900512691
"Path19",0.438680776965359
"Path20",0.215890069071289
"Path21",0.723324983148862
"Path22",0.541910226247774
"Path23",0.697320505079542
"Path24",0.0916761860470025
"Path25",0.778979454150545
"Path26",0.00928769863716747
"Path27",0.206150836026003
"Path28",0.136817518385002
"Path29",0.531273447968394
"Path30",0.276494884280375
"Path31",0.0668931330748548
"Path32",0.000352709147830149
"Path33",0.2157549747379
"Path34",0.152718500583098
"Path35",6.89567419531793e-09
"Path36",0.328183261880669
"Path37",0.301740872765298
"Path38",0.150753951890976
"Path39",0.292865156768292
"Path40",0.292211292072115
"Path41",0.0953719425449899
"Path42",0.0939036851944839
"Path43",0.901142992860777
"Path44",0.516359518448353
"Path45",0.332617377605412
"Path46",0.403489952287136
"Path47",0.671172700559571
"Path48",0.0730383809565537
"Path49",2.86462320895834e-05
"Path50",0.000771472731981293
"Path51",0.727811096928743
"Path52",0.700420218771588
"Path53",0.671172700559571
"Path54",0.584404127591364
"Path55",0.000886349990936149
"Path56",0.708763993371535
"Path57",0.00120735587099764
"Path58",0.467320423738633
"Path59",6.96429242697048e-05
"Path60",0.0138985017370458
"Path61",3.47166674248206e-06
"Path62",0.0949940752952697
"Path63",0.328183261880671
"Path64",0.809546662373873
"Path65",0.74826996529643
"Path66",0.665396333409631
"Path67",0.102542638495257
"Path68",0.0151741360864536
"Path69",0.0194121283696822
"Path70",0.0343551795122507
"Path71",0.955976863652916
"Path72",0.432470836816027
"Path73",0.0748811806203043
"Path74",0.00368874377136727
"Path75",0.303053740771434
"Path76",0.690776781556685
"Path77",0.35643490466814
"Path78",0.605608265048371
"Path79",0.779018521674943
"Path80",0.621595222623198
"Path81",0.328183261880671
"Path82",0.0912851226460149
"Path83",0.291493700847417
"Path84",3.33230121465851e-05
"Path85",0.0829915588624548
"Path86",0.153896572083275
"Path87",0.247483893996969
"Path88",0.0298809195336315
"Path89",0.201409186107532
"Path90",0.126467277736764
"Path91",0.0153389895352154
"Path92",0.550203749583405
"Path93",0.0350525309734001
"Path94",0.150017059776807
"Path95",0.176214122462111
"Path96",0.00046888176931548
"Path97",0.513766716928968
"Path98",0.32818326188067
"Path99",0.77641958867944
"Path100",0.0174876286467381
"Path101",9.8285138612108e-05
"Path102",7.55466770872626e-06
"Path103",0.00727484077995133
"Path104",2.06428712484709e-06
"Path105",0.000295556559957077
"Path106",0.00660744884620122
"Path107",0.990337273920985
"Path108",7.73094974457074e-07
"Path109",0.85722102170479
"Path110",4.01939219400799e-11
"Path111",0.000102665450153099
"Path112",0.404798496387739
"Path113",0.00650670780640929
"Path114",0.396587960192175
"Path115",0.214860661437582
"Path116",0.0504219742433546
"Path117",0.0218114982749654
"Path118",0.000473452305997492
"Path119",0.81328129961838
"Path120",0.00343082961920469
"Path121",0.0643701228770388
"Path122",0.00310480089092245
"Path123",0.0464431463146406
"Path124",0.0284268438864399
"Path125",0.32818326188067
"Path126",0.000212901169593041
"Path127",0.636042833229127
"Path128",0.00528694620728995
"Path129",8.1655652864547e-08
"Path130",0.738715247552104
"Path131",0.210197132544179
"Path132",0.000179824468005075
"Path133",0.110465385979051
"Path134",0.0290042694180984
"Path135",0.00984682171625876
"Path136",0.00329244219852482
"Path137",0.276952829530209
"Path138",0.737412489368959
"Path139",0.32818326188067
"Path140",0.472664177000911
"Path141",0.308339641912026
"Path142",0.100719290040975
"Path143",0.961082861778031
"Path144",0.558797340681658
"Path145",0.058539329562486
"Path146",0.143590544238607
"Path147",0.32818326188067
"Path148",0.32818326188067
"Path149",0.112986807563107
"Path150",0.00120855420926021
"Path151",5.01274751633499e-09
"Path152",0.790066668375206
"Path153",0.591733680573114
"Path154",7.70033678869225e-05
"Path155",0.168737579997921
"Path156",0.461828876496942
"Path157",0.000123145535446378
"Path158",0.0902669327614158
"Path159",0.782693243709751
"Path160",0.000201337893644131
"Path161",0.69267156962443
"Path162",0.194801078312601
"Path163",0.0156686802735932
"Path164",0.538274475646365
"Path165",0.22995695489931
"Path166",0.101948970713603
"Path167",0.164967852169539
"Path168",0.70529977561238
"Path169",0.949675398967454
"Path170",0.022392956863043
"Path171",8.667236545833e-05
"Path172",0.036872834526501
"Path173",0.00533597498573958
"Path174",0.0795339394113204
"Path175",0.32818326188067
"Path176",0.337030130920248
"Path177",0.0972119878262921
"Path178",0.184774287314959
"Path179",0.0426277964380521
"Path180",0.0203700329476282
"Path181",0.594391138130573
"Path182",0.811672714210382
"Path183",0.302614425034688
"Path184",0.231349083226994
"Path185",0.701961291518914
"Path186",0.811672714210382
"Path187",0.32818326188067
"Path188",0.562291361615294
"Path189",0.00255599567970548
"Path190",0.56089546454356
"Path191",8.35841442570616e-06
"Path192",0.271779200778064
"Path193",0.0812514821132034
"Path194",0.283651433854283
"Path195",0.0391017663659399
"Path196",0.540349537737714
"Path197",0.283672135563621
"Path198",0.294812247664352
"Path199",0.0500133602121858
"Path200",0.39817963468813
"Path201",0.177264947780593
"Path202",1.09608614138064e-05
"Path203",0.00022469115004364
"Path204",0.328183261880671
"Path205",0.0433207963845655
"Path206",0.265085529873238
"Path207",0.745603424198116
"Path208",0.715411190675616
"Path209",0.995558605004242
"Path210",0.306020268102387
"Path211",2.24651777677651e-05
"Path212",0.285235147482804
"Path213",0.000279757154655112
"Path214",0.459066317766037
"Path215",0.591805957722302
"Path216",0.602908128585318
"Path217",0.695568664186132
"Path218",0.334090711442389
"Path219",0.00444676532309577
"Path220",0.333505827317611
"Path221",0.578318350757336
"Path222",0.684620943880052
"Path223",0.328183261880671
"Path224",0.334090711442389
"Path225",0.529842399413992
"Path226",0.529842399413992
"Path227",0.529842399413992
"Path228",0.264259276202227
"Path229",0.332599028395816
"Path230",0.272634213369662
"Path231",0.00445186867439488
"Path232",0.178705268990874
"Path233",0.714936741832178
"Path234",0.112924644456506
"Path235",0.0330770795482413
"Path236",0.443975524326087
"Path237",0.202041539945793
"Path238",0.197354239882856
"Path239",0.197354239882856
"Path240",0.190098190427945
"Path241",0.189792273104096
"Path242",0.59814443652371
"Path243",0.472989875894334
"Path244",0.0915318355867141
"Path245",0.0792228674912019
"Path246",0.642086640404984
"Path247",0.140428407259653
"Path248",0.152339268675663
"Path249",0.0382342321353944
"Path250",0.0681288206433477
"Path251",0.136847915679412
"Path252",0.444449082428988
"Path253",0.187589760823577
"Path254",0.197354239882856
"Path255",0.472701831809697
"Path256",0.236922290685521
"Path257",0.483708882248331
"Path258",0.0638536015493277
"Path259",0.0878828520405021
"Path260",0.328183261880671
"Path261",0.0463511760086267
"Path262",0.472989875894334
"Path263",0.094581852493516
"Path264",0.16562962806446
"Path265",0.162801180804823
"Path266",0.00796865579225721
"Path267",0.00551914053417735
"Path268",0.00566781497250593
"Path269",0.28648704848477
"Path270",0.335305966804181
"Path271",0.232127271729533
"Path272",0.83472018803302
"Path273",0.537988178666897
"Path274",0.0113696295488541
"Path275",0.0705603845516733
"Path276",0.252254714280293
"Path277",0.0144431623868379
"Path278",0.272559845746417
"Path279",0.0193935877367885
"Path280",0.0308375423432911
"Path281",0.0485851352668332
