"Metabolite","p_value"
"Path1",0.734808259770037
"Path2",0.662350239131275
"Path3",0.425088915664372
"Path4",0.350484923215943
"Path5",0.366570810784106
"Path6",0.269478892466218
"Path7",0.650096951287082
"Path8",0.523621644217708
"Path9",0.292988964078257
"Path10",0.413251914062459
"Path11",0.166156373692438
"Path12",0.470224007489563
"Path13",0.455866162587261
"Path14",0.675894428567771
"Path15",0.227668618705267
"Path16",0.217579994789472
"Path17",0.257727464859336
"Path18",0.368431683342357
"Path19",0.429949618408767
"Path20",0.722591239097046
"Path21",0.208253728895634
"Path22",0.417861485117932
"Path23",0.481343625152677
"Path24",0.542850993772847
"Path25",0.191252652143016
"Path26",0.491413951953332
"Path27",0.169774219048807
"Path28",0.178508565151129
"Path29",0.248111851566463
"Path30",0.330528259367674
"Path31",0.229422443446643
"Path32",0.543067735934988
"Path33",0.228210678108741
"Path34",0.581452574720421
"Path35",0.909240428944223
"Path36",0.413251914062459
"Path37",0.571782684565078
"Path38",0.122339896415473
"Path39",0.434724468303072
"Path40",0.3700350143744
"Path41",0.396731188485042
"Path42",0.6412227857227
"Path43",0.470270944159567
"Path44",0.476599511101564
"Path45",0.503282423336537
"Path46",0.329447735076173
"Path47",0.214684846056131
"Path48",0.0563187556351813
"Path49",0.770098198420508
"Path50",0.616839967338689
"Path51",0.392971064832033
"Path52",0.210008381082854
"Path53",0.214684846056131
"Path54",0.522722004559184
"Path55",0.498634416286085
"Path56",0.64096584121308
"Path57",0.44179064995606
"Path58",0.134882681566288
"Path59",0.750082231218076
"Path60",0.31341470310153
"Path61",0.93682846746198
"Path62",0.432766447933007
"Path63",0.41325191406246
"Path64",0.340941052241497
"Path65",0.466156352894094
"Path66",0.967034046942976
"Path67",0.902419641966343
"Path68",0.322058173028168
"Path69",0.293270481780026
"Path70",0.504573624842818
"Path71",0.193843048273544
"Path72",0.168184060609856
"Path73",0.250774420873118
"Path74",0.353358240271185
"Path75",0.559779268238981
"Path76",0.216155359575318
"Path77",0.689760336368243
"Path78",0.339659357884729
"Path79",0.878186597635107
"Path80",0.202713586907639
"Path81",0.413251914062461
"Path82",0.239133682340093
"Path83",0.322099496892799
"Path84",0.755307290277439
"Path85",0.245353580844477
"Path86",0.241935391034568
"Path87",0.333821321431641
"Path88",0.233501722093699
"Path89",0.455866162587261
"Path90",0.748376908457611
"Path91",0.378366485089712
"Path92",0.770430942480805
"Path93",0.476600170404885
"Path94",0.544765944418943
"Path95",0.465644580691821
"Path96",0.315563665790814
"Path97",0.265495342876809
"Path98",0.41325191406246
"Path99",0.551880755537501
"Path100",0.384611167712925
"Path101",0.60750950870369
"Path102",0.952132467684754
"Path103",0.604567135819447
"Path104",0.924570964105051
"Path105",0.479601417207735
"Path106",0.458374957061294
"Path107",0.755822210116619
"Path108",0.84732802751496
"Path109",0.42406543497133
"Path110",0.89688641577136
"Path111",0.938185775454073
"Path112",0.180463650605398
"Path113",0.440216075815441
"Path114",0.184008625111524
"Path115",0.288681138873458
"Path116",0.25512500588122
"Path117",0.374527295136012
"Path118",0.476625319002997
"Path119",0.954494966776476
"Path120",0.550424172994119
"Path121",0.389920024987803
"Path122",0.770193671735514
"Path123",0.982988871148318
"Path124",0.418439147820663
"Path125",0.41325191406246
"Path126",0.467566392372413
"Path127",0.174446466659948
"Path128",0.459679361091198
"Path129",0.897942066655258
"Path130",0.583555075531088
"Path131",0.313562858432277
"Path132",0.759001148254153
"Path133",0.792444564362049
"Path134",0.364958314027657
"Path135",0.209075361251882
"Path136",0.732556725518389
"Path137",0.440764533076815
"Path138",0.194129809498229
"Path139",0.413251914062458
"Path140",0.207379023764138
"Path141",0.48057212031905
"Path142",0.936398894022573
"Path143",0.451696386264704
"Path144",0.189039954591989
"Path145",0.258217015106196
"Path146",0.597211125354733
"Path147",0.41325191406246
"Path148",0.413251914062459
"Path149",0.648520974279577
"Path150",0.595084582054295
"Path151",0.875686917076775
"Path152",0.483671297672889
"Path153",0.624755275822621
"Path154",0.606723989933437
"Path155",0.556562093380539
"Path156",0.0965981219436978
"Path157",0.873584494354536
"Path158",0.735742431440434
"Path159",0.219476018403588
"Path160",0.931932499643161
"Path161",0.488886768912592
"Path162",0.145325647193617
"Path163",0.583820969753672
"Path164",0.39923388094326
"Path165",0.404534602078459
"Path166",0.17167772594394
"Path167",0.562131193175787
"Path168",0.582368247505118
"Path169",0.293813967971442
"Path170",0.238079429662337
"Path171",0.674653394616547
"Path172",0.909627286389737
"Path173",0.671997535728654
"Path174",0.759268876657551
"Path175",0.413251914062461
"Path176",0.248915871985904
"Path177",0.247392090261074
"Path178",0.311887778373138
"Path179",0.421836244983848
"Path180",0.861838713786658
"Path181",0.824136419772486
"Path182",0.383510183491879
"Path183",0.675868988815056
"Path184",0.72458825421345
"Path185",0.686073337059712
"Path186",0.383510183491879
"Path187",0.41325191406246
"Path188",0.353329106655768
"Path189",0.779183908085
"Path190",0.394776347146595
"Path191",0.73903176661466
"Path192",0.274425267263127
"Path193",0.451819976593915
"Path194",0.451626407161013
"Path195",0.702211412976657
"Path196",0.405225071476894
"Path197",0.449015371395262
"Path198",0.545679795208527
"Path199",0.721219020099339
"Path200",0.368964846869917
"Path201",0.324044384791405
"Path202",0.884451022858608
"Path203",0.871013499305241
"Path204",0.41325191406246
"Path205",0.257189240295308
"Path206",0.570795076743498
"Path207",0.179031336077937
"Path208",0.470361183580335
"Path209",0.47243661974459
"Path210",0.310819165527962
"Path211",0.558120415920502
"Path212",0.0246315930399615
"Path213",0.841510241613709
"Path214",0.368125714606322
"Path215",0.3289514406405
"Path216",0.33733124554057
"Path217",0.283467827590548
"Path218",0.351881586946886
"Path219",0.525559560790441
"Path220",0.353289954464419
"Path221",0.331057014080475
"Path222",0.28567714757309
"Path223",0.41325191406246
"Path224",0.351881586946886
"Path225",0.352813599202598
"Path226",0.352813599202598
"Path227",0.352813599202598
"Path228",0.359517612653146
"Path229",0.111414983366337
"Path230",0.103904324005172
"Path231",0.532614962599667
"Path232",0.34275028743032
"Path233",0.780194051249925
"Path234",0.304869132850461
