"Metabolite","Group1","Group2","P_Value","Higher_Group"
"Path18","IL_D","H_D",0.0303030303030303,"IL_D"
"Path18","IL_W","H_D",0.025974025974026,"IL_W"
"Path18","IL_W","H_W",0.025974025974026,"IL_W"
"Path32","IL_W","H_D",0.012987012987013,"H_D"
"Path32","IL_W","H_W",0.025974025974026,"H_W"
"Path35","IL_D","H_D",0.00324675324675325,"IL_D"
"Path35","IL_W","H_D",0.00324675324675325,"IL_W"
"Path35","IL_D","H_W",0.00324675324675325,"IL_D"
"Path35","IL_W","H_W",0.00324675324675325,"IL_W"
"Path49","IL_D","H_D",0.00649350649350649,"IL_D"
"Path49","IL_W","H_D",0.00649350649350649,"IL_W"
"Path50","IL_D","H_D",0.0260214797187545,"IL_D"
"Path55","IL_D","H_D",0.0454545454545455,"IL_D"
"Path55","IL_W","H_W",0.0454545454545455,"IL_W"
"Path57","IL_D","H_D",0.00649350649350649,"IL_D"
"Path57","IL_W","H_D",0.00649350649350649,"IL_W"
"Path59","IL_D","H_D",0.0303030303030303,"H_D"
"Path59","IL_D","H_W",0.012987012987013,"H_W"
"Path59","IL_W","H_W",0.0303030303030303,"H_W"
"Path61","IL_D","H_D",0.00865800865800866,"H_D"
"Path61","IL_W","H_D",0.012987012987013,"H_D"
"Path61","IL_D","H_W",0.00865800865800866,"H_W"
"Path61","IL_W","H_W",0.00865800865800866,"H_W"
"Path68","IL_W","H_D",0.012987012987013,"IL_W"
"Path84","IL_D","H_D",0.00649350649350649,"IL_D"
"Path84","IL_W","H_D",0.00649350649350649,"IL_W"
"Path96","IL_D","H_D",0.025974025974026,"IL_D"
"Path96","IL_W","H_D",0.012987012987013,"IL_W"
"Path101","IL_D","H_D",0.00649350649350649,"IL_D"
"Path101","IL_W","H_D",0.00649350649350649,"IL_W"
"Path102","IL_D","H_D",0.012987012987013,"H_D"
"Path102","IL_W","H_D",0.012987012987013,"H_D"
"Path102","IL_D","H_W",0.012987012987013,"H_W"
"Path102","IL_W","H_W",0.012987012987013,"H_W"
"Path104","IL_D","H_D",0.012987012987013,"H_D"
"Path104","IL_W","H_D",0.012987012987013,"H_D"
"Path104","IL_D","H_W",0.012987012987013,"H_W"
"Path104","IL_W","H_W",0.012987012987013,"H_W"
"Path105","IL_D","H_D",0.0454545454545455,"IL_D"
"Path105","IL_D","H_W",0.012987012987013,"IL_D"
"Path106","IL_W","H_D",0.012987012987013,"IL_W"
"Path108","IL_D","H_D",0.0227272727272727,"H_D"
"Path108","IL_W","H_D",0.0173160173160173,"H_D"
"Path108","IL_D","H_W",0.00649350649350649,"H_W"
"Path108","IL_W","H_W",0.00649350649350649,"H_W"
"Path110","IL_D","H_D",0.00324675324675325,"H_D"
"Path110","IL_W","H_D",0.00324675324675325,"H_D"
"Path110","IL_D","H_W",0.00324675324675325,"H_W"
"Path110","IL_W","H_W",0.00324675324675325,"H_W"
"Path111","IL_D","H_D",0.0499841250790042,"H_D"
"Path111","IL_D","H_W",0.0499841250790042,"H_W"
"Path111","IL_W","H_W",0.0499841250790042,"H_W"
"Path118","IL_D","H_D",0.0243811278932054,"H_D"
"Path118","IL_W","H_D",0.0243811278932054,"H_D"
"Path122","IL_D","H_D",0.025974025974026,"IL_D"
"Path122","IL_W","H_D",0.025974025974026,"IL_W"
"Path122","IL_D","H_W",0.0303030303030303,"IL_D"
"Path126","IL_D","H_D",0.012987012987013,"H_D"
"Path126","IL_W","H_D",0.012987012987013,"H_D"
"Path126","IL_D","H_W",0.0303030303030303,"H_W"
"Path126","IL_W","H_W",0.038961038961039,"H_W"
"Path128","IL_D","H_D",0.0303030303030303,"IL_D"
"Path128","IL_W","H_D",0.025974025974026,"IL_W"
"Path128","IL_W","H_W",0.025974025974026,"IL_W"
"Path129","IL_D","H_D",0.00324675324675325,"IL_D"
"Path129","IL_W","H_D",0.00324675324675325,"IL_W"
"Path129","IL_D","H_W",0.00324675324675325,"IL_D"
"Path129","IL_W","H_W",0.00324675324675325,"IL_W"
"Path132","IL_D","H_D",0.00649350649350649,"IL_D"
"Path132","IL_W","H_D",0.0227272727272727,"IL_W"
"Path132","IL_D","H_W",0.00649350649350649,"IL_D"
"Path132","IL_W","H_W",0.00865800865800866,"IL_W"
"Path151","IL_D","H_D",0.00347303763762379,"H_D"
"Path151","IL_W","H_D",0.00347303763762379,"H_D"
"Path151","IL_D","H_W",0.00347303763762379,"H_W"
"Path151","IL_W","H_W",0.00347303763762379,"H_W"
"Path154","IL_W","H_D",0.0467749597041277,"IL_W"
"Path160","IL_D","H_D",0.0120271494821989,"IL_D"
