"Metabolite","Comparison","W","p_value","Higher"
"Path1","IL vs H",44,0.083532656165157,"H"
"Path2","IL vs H",113,0.0172711929341355,"IL"
"Path3","IL vs H",126,0.00111458066768337,"IL"
"Path4","IL vs H",76,0.842835990231333,"H"
"Path5","IL vs H",108,0.0402301460241255,"IL"
"Path6","IL vs H",67,0.798745338656498,"H"
"Path7","IL vs H",96,0.0366874429478183,"H"
"Path8","IL vs H",67,0.798745338656498,"H"
"Path9","IL vs H",74,0.932300503373326,"IL"
"Path10","IL vs H",78,0.359317338329571,"H"
"Path11","IL vs H",88.5,0.351920663762392,"IL"
"Path12","IL vs H",115,0.0120939768267807,"IL"
"Path13","IL vs H",78,0.705161071714777,"H"
"Path14","IL vs H",103,0.0780243447493414,"IL"
"Path15","IL vs H",80,0.670659532955939,"H"
"Path16","IL vs H",88,0.37768531105454,"IL"
"Path17","IL vs H",92,0.26566958415121,"IL"
"Path18","IL vs H",132,0.000201171825885785,"IL"
"Path19","IL vs H",78,0.715049610182639,"H"
"Path20","IL vs H",69,0.88738593483512,"H"
"Path21","IL vs H",58,0.442833179742589,"H"
"Path22","IL vs H",72,1,"H"
"Path23","IL vs H",62,0.589875732021377,"H"
"Path24","IL vs H",41,0.072815929310999,"H"
"Path25","IL vs H",62.5,0.535824669552319,"H"
"Path26","IL vs H",116,0.0100445388505693,"IL"
"Path27","IL vs H",86,0.442833179742589,"IL"
"Path28","IL vs H",91,0.291342659225281,"IL"
"Path29","IL vs H",63,0.629725504001988,"H"
"Path30","IL vs H",52,0.26566958415121,"H"
"Path31","IL vs H",95,0.197808114620606,"IL"
"Path32","IL vs H",12,0.000201171825885785,"H"
"Path33","IL vs H",82,0.589875732021377,"IL"
"Path34","IL vs H",84,0.166224591128354,"H"
"Path35","IL vs H",144,3.64420272924621e-05,"IL"
"Path36","IL vs H",78,0.359317338329571,"H"
"Path37","IL vs H",83.5,0.328106340687351,"H"
"Path38","IL vs H",91,0.291342659225281,"IL"
"Path39","IL vs H",84,0.166224591128354,"H"
"Path40","IL vs H",81,0.629725504001988,"H"
"Path41","IL vs H",95,0.197808114620606,"IL"
"Path42","IL vs H",100,0.113502327528441,"IL"
"Path43","IL vs H",60,0.485062562022296,"H"
"Path44","IL vs H",73,0.964544428953171,"H"
"Path45","IL vs H",50,0.191790974875856,"H"
"Path46","IL vs H",65,0.513856433533076,"H"
"Path47","IL vs H",74,0.932300503373326,"H"
"Path48","IL vs H",100,0.113502327528441,"IL"
"Path49","IL vs H",133,0.00047227018544685,"IL"
"Path50","IL vs H",127,0.00144464703375882,"IL"
"Path51","IL vs H",63,0.592721612902676,"H"
"Path52","IL vs H",71,0.977402191293698,"H"
"Path53","IL vs H",74,0.932300503373326,"H"
"Path54","IL vs H",74,0.932300503373326,"IL"
"Path55","IL vs H",125,0.00143260965713517,"IL"
"Path56","IL vs H",53.5,0.289716432782028,"H"
"Path57","IL vs H",134,0.000102804719846044,"IL"
"Path58","IL vs H",80,0.670659532955939,"H"
"Path59","IL vs H",11,0.000144222448704882,"H"
"Path60","IL vs H",111,0.0241842556420562,"IL"
"Path61","IL vs H",4,9.70057168601521e-05,"H"
"Path62","IL vs H",99,0.127687899662593,"IL"
"Path63","IL vs H",78,0.359317338329571,"H"
"Path64","IL vs H",69,0.88738593483512,"H"
"Path65","IL vs H",66,0.755284828242158,"H"
"Path66","IL vs H",66,0.755284828242158,"IL"
"Path67","IL vs H",91,0.285057056321862,"IL"
"Path68","IL vs H",113,0.0172711929341355,"IL"
"Path69","IL vs H",112,0.020489202546007,"IL"
"Path70","IL vs H",140,8.87522761260815e-06,"IL"
"Path71","IL vs H",61,0.551167166391288,"H"
"Path72","IL vs H",76,0.842835990231333,"H"
"Path73","IL vs H",98,0.143167775823584,"IL"
"Path74","IL vs H",119,0.00555959049699795,"IL"
"Path75","IL vs H",53,0.183612694629075,"H"
"Path76","IL vs H",55,0.347357918699957,"H"
"Path77","IL vs H",81,0.629725504001988,"H"
"Path78","IL vs H",68.5,0.857330410705727,"IL"
"Path79","IL vs H",82,0.589875732021377,"IL"
"Path80","IL vs H",76,0.82149878038964,"IL"
"Path81","IL vs H",78,0.359317338329571,"H"
"Path82","IL vs H",96,0.178182027959925,"IL"
"Path83","IL vs H",79,0.699890664502701,"H"
"Path84","IL vs H",133,0.00047227018544685,"IL"
"Path85","IL vs H",96,0.178182027959925,"IL"
"Path86","IL vs H",92,0.26566958415121,"IL"
"Path87","IL vs H",83,0.551167166391288,"IL"
"Path88","IL vs H",106,0.0518646113611789,"IL"
"Path89","IL vs H",78,0.705161071714777,"H"
"Path90","IL vs H",96,0.178182027959925,"IL"
"Path91","IL vs H",14,0.000371280355127441,"H"
"Path92","IL vs H",60,0.513722581093694,"H"
"Path93","IL vs H",108,0.0387211388692073,"IL"
"Path94","IL vs H",104,0.0558229654828471,"IL"
"Path95","IL vs H",48,0.178182027959925,"H"
"Path96","IL vs H",129,0.000495533541703955,"IL"
"Path97","IL vs H",49,0.197808114620606,"H"
"Path98","IL vs H",78,0.359317338329571,"H"
"Path99","IL vs H",72,1,"IL"
"Path100","IL vs H",26.5,0.00372212688360389,"H"
"Path101","IL vs H",132,0.000585540592099104,"IL"
"Path102","IL vs H",6,2.21880690315204e-05,"H"
"Path103","IL vs H",140,8.87522761260815e-06,"IL"
"Path104","IL vs H",6,2.21880690315204e-05,"H"
"Path105","IL vs H",129,0.000495533541703955,"IL"
"Path106","IL vs H",118,0.00681173719267675,"IL"
