Sample,Kingdom,Phyla,H_D_CDB_R10,H_D_CDB_R5,H_D_CDB_R7,H_D_WEB_R1,H_D_WEB_R10,H_D_WEB_R5,H_W_DES_R10,H_W_DES_R6,H_W_DES_R8,H_W_FUL_R10,H_W_FUL_R4,H_W_FUL_R9,C_D_CDB_R1,C_D_CDB_R3,C_D_CDB_R7,C_D_WEB_R1,C_D_WEB_R2,C_D_WEB_R9,C_W_DES_R1,C_W_DES_R6,C_W_DES_R8,C_W_FUL_R10,C_W_FUL_R3,C_W_FUL_R4
MAG_01,Bacteria,Pseudomonadota,0.011202446,0.0247598,0.993373352,0.011792876,0.026490367,0.040812085,0.070047574,0.010647386,0.307669093,0.031697807,0.018102162,0.088189811,0.151656654,0.056768642,0.105205217,0.050891106,0.092499031,0.187780663,0.131529277,0.080217293,0.086047127,0.025972138,0.080273918,0.214763949
MAG_02,Archaea,Thermoproteota,0.892359203,0.928376896,0.976620116,0.842190528,0.947929267,0.986177831,0.839231842,0.90117772,0.723573694,0.941234757,0.90230517,0.753634809,0.062552286,0.083216931,0.5112002,0.072590574,0.112797473,0.050119985,0.058746906,0.28739855,0.196237618,0.076392793,0.255847026,0.090962379
MAG_03,Archaea,Thermoproteota,0.80133941,0.875840893,0.889735278,0.905020305,0.878011303,0.956375137,0.794188718,0.73622937,0.767943309,0.754279883,0.782050221,0.688170401,0.002999454,0.003275927,0.012858832,0.003380874,0.007195078,0.002617281,0.003159319,0.006042165,0.008241539,0.00296071,0.00984847,0.002144079
MAG_04,Bacteria,High_GC_gram,0.659509028,0.830470806,0.783264109,0.863794651,0.820356177,0.897682029,0.819749822,0.685230394,0.754157406,0.796298962,0.862360808,0.854877261,0.027950308,0.024967829,0.029326934,0.01927546,0.034616265,0.017684541,0.032623927,0.025026125,0.026467885,0.013696806,0.032035024,0.014242706
MAG_05,Bacteria,Desulfobacterota,0.775397124,0.90095534,0.813127634,0.835108513,0.879135801,0.974205143,0.766637655,0.771578651,0.698373323,0.878368605,0.916411625,0.665643187,0.018692086,0.022674265,0.057045958,0.021163531,0.03000083,0.011647985,0.013450174,0.033793044,0.031283512,0.012310617,0.034899007,0.012496324
MAG_06,Bacteria,Acidobacteriota,0.897569056,0.139705447,0.782443163,0.898111962,0.888483381,0.772445412,0.081768822,0.201896831,0.903202425,0.701830887,0.818185187,0.197015047,0.056015249,0.026257307,0.091489695,0.023691432,0.136227356,0.010387916,0.056500948,0.033290705,0.118011198,0.019539112,0.106507739,0.016626189
MAG_07,Bacteria,Patescibacteria,0.001453816,0.002455741,0.996820586,0.001678144,0.007109462,0.004165161,0.004744315,0.002366226,0.008251592,0.019186489,0.002739386,0.009424999,0.006555114,0.001452737,0.002800861,0.002505352,0.001039673,0.006129107,0.008437094,0.003170786,0.002909789,0.000927509,0.002127878,0.001204683
MAG_08,Bacteria,Pseudomonadota,0.862847914,0.964896893,0.062785173,0.775646152,0.785337101,0.416776572,0.879382494,0.143831673,0.973411792,0.974960453,0.839237848,0.030785554,0.007742622,0.008975524,0.012557788,0.01084611,0.009582728,0.012959851,0.007596729,0.010024518,0.010054655,0.010953988,0.012932453,0.006174782
MAG_09,Bacteria,High_GC_gram,0.81871092,0.960706999,0.897484599,0.484520435,0.779456445,0.785452333,0.92729106,0.572966317,0.949312445,0.856663886,0.838363997,0.556713846,0.142510524,0.064917674,0.562533197,0.0725618,0.162587535,0.395624934,0.188840528,0.113292465,0.129099651,0.059472282,0.227973858,0.098089928
MAG_10,Bacteria,Desulfobacterota,0.774904985,0.904859717,0.816361529,0.837924429,0.886542255,0.974263701,0.783427736,0.785732464,0.718949923,0.895586489,0.931308243,0.669099152,0.013482327,0.017651391,0.047283899,0.016625509,0.02338924,0.007240334,0.009607283,0.027193138,0.022742295,0.008916222,0.026195052,0.01002651
