Sample,Location,Ecotype,Population
H_D_CDB_R10,H,Dry,CDB
H_D_CDB_R5,H,Dry,CDB
H_D_CDB_R7,H,Dry,CDB
H_D_WEB_R1,H,Dry,WEB
H_D_WEB_R10,H,Dry,WEB
H_D_WEB_R5,H,Dry,WEB
H_W_DES_R10,H,Wet,DES
H_W_DES_R6,H,Wet,DES
H_W_DES_R8,H,Wet,DES
H_W_FUL_R10,H,Wet,FUL
H_W_FUL_R4,H,Wet,FUL
H_W_FUL_R9,H,Wet,FUL
C_D_CDB_R1,C,Dry,CDB
C_D_CDB_R3,C,Dry,CDB
C_D_CDB_R7,C,Dry,CDB
C_D_WEB_R1,C,Dry,WEB
C_D_WEB_R2,C,Dry,WEB
C_D_WEB_R9,C,Dry,WEB
C_W_DES_R1,C,Wet,DES
C_W_DES_R6,C,Wet,DES
C_W_DES_R8,C,Wet,DES
C_W_FUL_R10,C,Wet,FUL
C_W_FUL_R3,C,Wet,FUL
C_W_FUL_R4,C,Wet,FUL
