Sample,Phylum,Class
MAG_1,Proteobacteria,Gammaproteobacteria
MAG_2,Thermoproteota,Nitrososphaeria
MAG_3,Thermoproteota,Nitrososphaeria
MAG_4,Actinobacteriota,UBA4738
MAG_5,Desulfobacterota,Binatia
MAG_6,Acidobacteriota,Blastocatellia
MAG_7,Patescibacteria,Saccharimonadia
MAG_8,Proteobacteria,Gammaproteobacteria
MAG_9,Actinobacteriota,Actinomycetia
MAG_10,Desulfobacterota,Binatia
MAG_11,Thermoproteota,Nitrososphaeria
MAG_12,Patescibacteria,Saccharimonadia
MAG_13,,
MAG_14,Verrucomicrobiota,Verrucomicrobiae
MAG_15,Thermoproteota,Nitrososphaeria
MAG_16,,
MAG_17,,
MAG_18,Bacteroidota,Bacteroidia
MAG_19,Bacteroidota,Bacteroidia
MAG_20,Patescibacteria,Saccharimonadia
MAG_21,Proteobacteria,Gammaproteobacteria
MAG_22,,
MAG_23,Nitrospirota,Nitrospiria
MAG_24,Nitrospirota,Nitrospiria
MAG_25,Planctomycetota,UBA1135
MAG_26,Verrucomicrobiota,Verrucomicrobiae
MAG_27,Proteobacteria,Gammaproteobacteria
MAG_28,Thermoproteota,Nitrososphaeria
MAG_29,Thermoproteota,Nitrososphaeria
MAG_30,Proteobacteria,Gammaproteobacteria
MAG_31,Patescibacteria,Saccharimonadia
MAG_32,Patescibacteria,Saccharimonadia
MAG_33,Patescibacteria,Saccharimonadia
MAG_34,Thermoproteota,Nitrososphaeria
