bins,Bac_HAYS_DRY_MAG_1,Ar_HAYS_DRY_MAG_2,Ar_HAYS_DRY_MAG_3,Bac_HAYS_DRY_MAG_4,Bac_HAYS_DRY_MAG_5,Bac_HAYS_DRY_MAG_6,Bac_HAYS_DRY_MAG_7,Bac_HAYS_DRY_MAG_8,Bac_HAYS_DRY_MAG_9,Bac_HAYS_WET_MAG_10,Ar_HAYS_WET_MAG_11,Bac_HAYS_WET_MAG_12,Bac_HAYS_WET_MAG_13,Bac_HAYS_WET_MAG_14,Ar_HAYS_WET_MAG_15,Bac_HAYS_WET_MAG_16,Bac_HAYS_WET_MAG_17,Bac_IL_WET_MAG_18,Bac_IL_WET_MAG_19,Bac_IL_WET_MAG_20,Bac_IL_WET_MAG_21,Bac_IL_WET_MAG_22,Bac_IL_WET_MAG_23,Bac_IL_WET_MAG_24,Bac_IL_WET_MAG_25,Bac_IL_WET_MAG_26,Bac_IL_WET_MAG_27,Ar_IL_WET_MAG_28,Ar_IL_WET_MAG_29,Bac_IL_DRY_MAG_30,Bac_IL_DRY_MAG_31,Bac_IL_DRY_MAG_32,Bac_IL_DRY_MAG_33,Ar_IL_DRY_MAG_34
H_D_CDB_R10,0.011202446,0.892359203,0.80133941,0.659509028,0.775397124,0.897569056,0.001453816,0.862847914,0.81871092,0.774904985,0.891003934,0.036842418,0.001038888,0.006882197,0.79105457,0.162257175,0.807414836,0.000148014,0.000921307,0.000171697,0.010646978,0.002397314,0.004927998,0.004412227,0.026034259,0.001378059,0.002692492,0.002025835,0.048984571,0.000260384,0.000558152,0.001542599,0,0.025080843
H_D_CDB_R5,0.0247598,0.928376896,0.875840893,0.830470806,0.90095534,0.139705447,0.002455741,0.964896893,0.960706999,0.904859717,0.928547837,0.036402763,0.000753386,0.376742368,0.869924089,0.42596881,0.924298994,0.000201527,0.000475931,0.000453169,0.011153886,0.007840624,0.011943415,0.004492353,0.024968094,0.003638942,0.002720047,0.001901706,0.058424862,0.00037787,0.000852632,0.00089658,0.00078029,0.033016221
H_D_CDB_R7,0.993373352,0.976620116,0.889735278,0.783264109,0.813127634,0.782443163,0.996820586,0.062785173,0.897484599,0.816361529,0.977086062,0.032117256,0.545679533,0.318798491,0.8859858,0.198813346,0.063328022,0.008122164,0.00225214,0.000549713,0.021094594,0.003480113,0.009553706,0.003878531,0.02281097,0.002753875,0.005760815,0.002487001,0.084094912,0.002640469,0.001291151,0.001431238,0.001681209,0.041945167
H_D_WEB_R1,0.011792876,0.842190528,0.905020305,0.863794651,0.835108513,0.898111962,0.001678144,0.775646152,0.484520435,0.837924429,0.846771551,0.021239178,0.236766487,0.007686333,0.900392978,0.025117089,0.740292016,0.000251813,0.000875353,0.000248539,0.00923295,0.005342265,0.004899979,0.005212371,0.029628778,0.003101847,0.003261582,0.002516326,0.045007958,0.000361699,0.000666981,0.002020311,0.001403,0.022728224
H_D_WEB_R10,0.026490367,0.947929267,0.878011303,0.820356177,0.879135801,0.888483381,0.007109462,0.785337101,0.779456445,0.886542255,0.950564752,0.033947801,0.237051989,0.012571019,0.870550177,0.613846537,0.730544599,0.00059642,0.001038843,0.000577579,0.015416588,0.007377191,0.006578359,0.004054457,0.042294651,0.003598576,0.003320253,0.002654515,0.064959166,0.000599312,0.000945057,0.00109589,0.0006564,0.034999169
H_D_WEB_R5,0.040812085,0.986177831,0.956375137,0.897682029,0.974205143,0.772445412,0.004165161,0.416776572,0.785452333,0.974263701,0.985087948,0.032161311,0.001971579,0.071521854,0.946917493,0.393975238,0.389821747,0.000221072,0.000637203,0.004915049,0.014308192,0.003419923,0.009021739,0.004924812,0.046283127,0.002854417,0.003677527,0.003445888,0.09716655,0.000883457,0.007303584,0.001069316,0.001156307,0.049543773
H_W_DES_R10,0.070047574,0.839231842,0.794188718,0.819749822,0.766637655,0.081768822,0.004744315,0.879382494,0.92729106,0.783427736,0.853599467,0.036957951,0.272994445,0.398642202,0.808285407,0.672530881,0.850484325,0.000200767,0.000489976,0.000620081,0.013898415,0.040182379,0.012279446,0.003076788,0.042702728,0.007356374,0.003504138,0.00264648,0.047225684,0.000682476,0.001285149,0.001430605,0.000660747,0.025780109
H_W_DES_R6,0.010647386,0.90117772,0.73622937,0.685230394,0.771578651,0.201896831,0.002366226,0.143831673,0.572966317,0.785732464,0.91202487,0.025336776,0.003596093,0.264689752,0.738316429,0.678230121,0.147268313,0.000165472,0.00037589,0.001687701,0.012612973,0.01141149,0.006952867,0.003431839,0.013814343,0.002530365,0.002108781,0.001512848,0.051784554,0.00038183,0.00066298,0.000811794,0.000484693,0.025844712
H_W_DES_R8,0.307669093,0.723573694,0.767943309,0.754157406,0.698373323,0.903202425,0.008251592,0.973411792,0.949312445,0.718949923,0.740802618,0.996908033,0.992950181,0.069749857,0.779919944,0.294023253,0.962114488,0.000194316,0.001657195,0.000694952,0.02078131,0.090377218,0.014120416,0.003055517,0.022947684,0.006895526,0.005732886,0.002382555,0.034284278,0.000979822,0.001240737,0.001816571,0.001887693,0.017212461
H_W_FUL_R10,0.031697807,0.941234757,0.754279883,0.796298962,0.878368605,0.701830887,0.019186489,0.974960453,0.856663886,0.895586489,0.953839273,0.04623475,0.232149975,0.844239876,0.757012792,0.92162921,0.95818642,0.001015603,0.001070013,0.001067339,0.025197891,0.029130783,0.015263277,0.003974331,0.032792147,0.005687155,0.004314848,0.002028245,0.06362429,0.001314129,0.002120576,0.001183207,0.001518196,0.034865776
H_W_FUL_R4,0.018102162,0.90230517,0.782050221,0.862360808,0.916411625,0.818185187,0.002739386,0.839237848,0.838363997,0.931308243,0.914310481,0.040602408,0.019187882,0.468794215,0.785916283,0.746604338,0.808845141,0.000279898,0.000770015,0.000418266,0.021481204,0.024850421,0.011495702,0.004605746,0.047301081,0.006159216,0.003717828,0.002123451,0.051243184,0.000690726,0.001074292,0.001151571,0.001187823,0.027228887
H_W_FUL_R9,0.088189811,0.753634809,0.688170401,0.854877261,0.665643187,0.197015047,0.009424999,0.030785554,0.556713846,0.669099152,0.765102573,0.022464187,0.685206077,0.982150518,0.699546596,0.017116458,0.042744124,0.000321456,0.000674656,0.001135736,0.018192998,0.022982656,0.007289885,0.004057656,0.058894591,0.006552413,0.004604079,0.001910544,0.033581632,0.001546132,0.002092168,0.001367332,0.001329101,0.020546683
IL_D_CDB_R1,0.151656654,0.062552286,0.002999454,0.027950308,0.018692086,0.056015249,0.006555114,0.007742622,0.142510524,0.013482327,0.058251267,0.000541701,0.000232403,0.041930101,0.002034696,0.00164281,0.0086797,0.04028405,0.002155056,0.565395599,0.041768358,0.957536944,0.359379011,0.844354331,0.068279321,0.730470495,0.016110339,0.485568487,0.187957799,0.984752205,0.818385874,0.010882976,0.501611114,0.929850923
