SampleID,X2_benzoyl_4___2r__1_hydroxy_7_methyl_3_methylideneoct_6_en_1_yl_benzene_1_3_5_triol,X3_5_dimethoxy_4___3_4_5_trihydroxy_6___sulfooxy_methyl_tetrahydro_2H_pyran_2_yl_oxy_benzoic acid,X3_Hydroxyoctadecanoic Acid,XElaidic Acid,XDL_Leucine,X4_Octylphenol_1_O_glucuronide,X1_Hydroxyanthraquinone,Xalanine betaine,Xpterolactam,X3_hydroxy_1_methylpyrrolidin_2_one,XN__4_oxopentyl__acetamide,X2_Aminohexadecane_1_15_diol,X2_Aminohexadecane_1_4_diol,XHexadecylsphingosine,X4_Methylazetidine_2_Carboxylic acid,XLeu_Asp,X4_Guanidinobutyric acid,XStachydrine,XMaltotriose,XN6_Acetyl_L_lysine,XN_benzylformamide,Xcyclo__Gly_Phe_,XL_Prolyl_L_Leucine,XDL_Tryptophan,X2_Phenylacetamide,X14_hydroxy_2_6_10_trimethylpentadeca_2_5_10_trien_4_one,XS_Methyl_L_cysteine,XTerephthalic acid,XL_Pipecolic Acid,Xγ_Linolenic Acid,XMyrtucommulone B,X2_Amino_4_hydroxy_3_methylpentanoic acid,X2_Decanol,X1_Decanol,XL_Citrulline,XL_Phenylalanine,X2__Deoxyadenosine,XHistidinol,XConfertifoline,XTrimethyllysine,X11_Octadecanoic acid_Vaccenic acid,XElemicin,XOctadec_6_enoic acid_Petroselinic acid,X2_Aminohexadecane_1_16_16_triol,XL_Valine,X2_4_Di_Tert_Butylphenol,XEmbelin,XCholine,X2_4_Dimethylacetophenone,X9_10_Anthraquinone,XGlu_Phe,X8_11_Heptadecadienoic acid,X3_5_Dihydro_2H_Furo_3_2_C_Quinolin_4_One,X3_amino_2_naphthoic acid,X3_Indoleacrylic acid,Xnaphthisoxazol A,X3_methoxy_4___3_4_5_trihydroxy_6___sulfooxy_methyl_tetrahydro_2H_pyran_2_yl_oxy_benzoic acid,X5__Deoxyadenosine,XCinchonain Ia,XThymine,XMalonic acid,XL_leucine,X2_Aminohexadecane_1_5_15_triol,XIsonicotinic acid,X5_Aminolevulinic Acid,XHercynine,XNicotinic acid _Vitamin B3_,XGuanine,X2_AminoicoSane_1_5_7_19_tetraol
H_D_CDB_R10,57159779.93,138602297,36778096.52,25785823.32,1722919.837,30047311.93,18412605.48,1888025.578,1837463.63,1684004.131,49778066.18,16709302.3,17890480.67,17465673.19,1558310.162,879680.537,12927431.77,42675188.26,6011667.586,4424088.66,1305007.785,1688565.938,921532.292,1661575.135,1348510.673,2845232.31,1290111.907,9653889.014,1704495.47,2256343.17,12581044.36,1822657.719,10400380.2,10147470.98,1005727.775,792128.706,7687113.848,7790109.714,10197244.85,4264790.863,7338526.662,10818060.1,7597684.895,11558977.2,529258.998,9486952.68,10137213.48,1095191.734,8077883.199,8754600.812,195347.498,6649439.716,979188.297,1026763.994,1081556.359,1181274.258,10063888.51,5762317.7,6950076.697,196957.846,3397599.226,884339.606,6314472.28,4054268.565,339998.268,4060471.339,3959572.247,1720354.127,5100582.583
H_D_CDB_R5,58443362.64,22713172.18,37831074.94,29266830.91,9019416.889,29353743.36,28151591.57,5934103.946,2740953.831,2713207.234,6016596.224,22252630.62,22292984.66,21377144.16,2398540.407,299960.025,34140316.62,4745036.242,17936546.82,5043315.612,3062992.098,5779482.054,500563.242,5812816.08,2983882.697,4122268.381,3024284.383,12097065,1405417.271,4962360.623,11671219.13,1036433.039,10426298.99,10438671.79,8727755.375,2089797.807,7629059.721,7682470.117,11698100.72,4598450.774,9029250.806,10163049.58,9196308.591,11117082.62,1801813.299,11625945.96,10093967.65,732940.401,13232069.57,8829395.102,78014.433,5283860.058,3358755.179,3716648.339,3679682.415,3536960.683,3405087.083,4942405.444,7132130.355,4923132.161,8713837.534,1219291.104,6592115.123,2321795.565,2388089.462,8276037.976,1994542.279,1471451.742,7331353.025
H_D_CDB_R7,60086949.3,87812904.6,36957689,22742221.55,1824556.006,32050107.13,46800242.84,1642097.034,1353557.134,1274934.585,11433483.21,24746255.96,24898956.6,24085419.33,1212208.349,341356.404,12534978.3,9660962.388,34062083.44,1892098.486,1239082.098,2097800.826,590066.228,2108793.155,1191714.727,2913389.726,1186356.962,7300849.011,991178.7,3520321.383,13751141.63,1158431.974,23181629.1,22820199.13,1596523.808,678958.804,5416211.611,7685811.935,16636369.84,1343696.351,6675574.923,10428766.58,6312047.276,11331983.59,469018.137,10644679.68,18748255.73,822904.395,24013558.29,8691072.273,108273.03,7545029.972,1258820.343,1351674.141,1164768.127,1164984.551,16306722.06,3445060.293,8664939.725,553012.491,8925526.853,873552.926,8003638.232,1791793.768,391186.302,6185419.345,1678907.055,931218.407,8360796.064
H_D_WEB_R1,51960814.58,102784301.3,38168628.66,67390776.29,50977519.59,27063687.75,20235547.61,36359785.41,22557188.18,23273282.53,31441633.45,23093298.39,22610275.27,23061972.68,18016911.28,2357890.19,15789274.53,25998136.6,4319521.494,51062931.52,44259193.53,53215570.41,4991325.925,50104870.87,42206961,7550140.016,42679955.92,10125711.31,26850384.74,7823937.903,8328166.942,8473916.214,10998118.61,10912595.8,9727324.149,18662404.96,9028892.593,20921656.7,9495864.903,21191106.12,19752781.68,9636013.632,19723434.49,11724712.85,12296563.42,10135920.7,8005501.353,5712979.105,3436113.457,8328859.427,1065607.223,6604899.602,32193166.02,32066961.84,30797738.37,30987523.1,15772626.33,5892788.103,8213180.137,16715158.92,4719709.146,4507973.368,8454643.535,23158530.5,10713375.85,7128647.206,21465818.73,40880475.83,7388693.605
H_D_WEB_R10,50799671.08,67597800.91,38763663.13,40519153.93,13955094.6,25440474.39,41922707.75,12564416.15,6066505.308,6126337.907,38123576.73,24322689.83,24608259.73,24914254.77,5060786.741,1007648.176,34814443.62,32705586.67,26623305.08,13231142.58,8890481.637,16218676.44,1348749.32,15126203.97,8660056.783,14154864.93,8550458.453,14020710.17,7104222.77,15368489.39,13126730.22,2089511.009,14808634.03,14398261.49,11588453.5,5406104.455,11722664.6,13674582.64,13670768.63,8930818.437,11071966.64,9938067.166,11554837.84,11154697.8,3951040.1,11798115.3,11028506.8,1232373.206,16293992.69,8995379.212,277412.2,13149484.31,9062709.052,8571354.224,8755411.21,9272454.676,6919354.454,8942785.091,9244898.693,7981889.808,6721202.218,1920161.409,8127095.973,13052674.1,2953623.415,28679829.07,12344409.54,1749905.608,7619081.486
H_D_WEB_R5,50235435.05,116391848.4,34952743.47,51127144.42,82165918.54,25831502.43,15153139.78,61342518.25,67422191.73,65577371.47,35074779.41,23785926.74,23364044.58,24532939.66,50850609.87,6128972.716,22319774.17,28724413.91,32629862.76,20015608.94,41880219.03,25305246.89,27313424.7,24437385.97,39337142.17,28089636.34,39299105.06,8066578.586,12243456.58,26525994.41,11717700.23,12952001.49,10271516.99,9900893.316,19481739.75,33879386.13,2240926.912,17099996.35,8818016.637,24273693.91,16438032.04,10040527.58,15997093.03,10620025.97,21993249.24,10182893.7,7119316.32,14821393.7,2437395.152,8143434.579,1797210.259,10166029.44,15405868.08,15959510.36,14681235.57,15568674.25,25295022.59,1706323.403,8251935.413,20695508.14,6280390.61,4736679.295,7938705.779,19303847.65,21870205.77,31641967.09,18704687.62,5696035.278,7946544.417
H_W_DES_R10,48834889.18,31348909.36,35229313,36065921.65,48984137.91,26053638.77,5511850.366,44696607.37,37408845.17,38861145.16,21578888.43,21052911.83,19830934.04,19527709.05,29747174.4,4156002.393,16282854.63,18556869.69,47588554.11,33497247.79,26160345.59,16014743.68,10491295.35,15869823.03,24234100.21,21563965.36,24997228.13,8113402.758,17688717.36,16452012.41,49874818.6,19250757.2,8847069.426,8767128.42,18453187.53,17643205.6,6888131.125,22455307.65,7732244.177,19606494.2,10251238.1,9799654.279,10468727.49,8475834.456,16781436.91,9975283.497,6490971.243,14518490.9,1741591.784,8239426.237,915345.613,8936921.866,10440703.64,10072146.71,10167554.4,9410234.115,1755960.611,4337629.617,7653050.893,6625023.125,5989639.385,3491348.009,7337936.076,13563169.26,10994448.41,15108927.04,12514519.98,2173460.654,7675033.514
H_W_DES_R6,53287896.77,94124547.08,36538808.45,50071145.7,87230843.38,27877366.61,25821736.17,90729718.26,59210788.47,60191605.4,51340881.98,25765031.1,24445816.04,24675468.88,46219290.91,16632908.83,70241596.72,40788959.42,11916125.1,46685771.98,39669880.85,51603017.69,21153399.56,53042780.14,37704575.69,5609601.996,37621604.85,6358258.497,69897842.76,6842399.328,8504412.618,3941575.846,11487661.69,11486443.45,15771608.3,30142779.21,11414271.18,19020859.77,9874692.699,30415205.79,13452281.64,9636745.042,11113701.09,10511453.87,36931485.46,10989367.38,9702423.489,13175837.35,3301212.185,8456725.088,3141468.182,9125295.445,30623823.91,29719134.73,30084003.45,31450333.03,3740589.073,7302633.433,9154333.576,20871078.17,7142683.003,3643309.319,10435648.63,8178071.703,25335809.89,9358576.771,7725093.911,15146322.41,9486338.894
H_W_DES_R8,53472587.65,74006661.73,36018798.72,60016775.2,87247176.51,27419182.88,14184183.95,80706811.1,87795112.68,90599383.01,38818200.91,23891583.5,23702452.36,22934965.71,70853077.68,15001701.35,98859236.22,33021156.68,69117292.35,30311960.01,44194124.34,51203711.22,33211880.01,51614747.04,43093618.56,16223964.54,42958898.62,10914731.4,17682154.28,14812238.8,9440278.127,17914241.23,9059161.924,9151746.305,19399618.06,34980856.42,21813296.62,18670105.43,8367003.155,24247468.75,16695506.91,10282433.74,14167308.8,10014953.33,31603649.83,10258568.23,7204238.127,17313862.45,2685998.878,8184465.073,2951646.253,15833895.06,31320924.74,31011554.05,31399610.37,30445972.8,10954163.58,14486185.36,7574235.926,13282641.68,6352652.375,6332292.808,8564931.654,16924098.39,22602729.17,16731789.32,16921327.32,11785851.28,7644105.863
H_W_FUL_R10,58694203.21,46817384.29,38967848.67,34292398.29,24109761.34,30713372.79,33524897.64,14682892.95,11087083.93,11396593.99,30840165.9,22013382.44,19369517.44,18744017.55,8868114.07,2235282.675,23203364.38,25178656.74,46226032.05,14776519.76,12191698.89,14393812.89,5904364.252,14603741.18,11652826.14,9140978.889,11694078.47,13182190.33,4111118.216,9167893.139,9992667.587,5658814.263,20437141.03,20343072.51,8926018.934,8520651.819,11269665.13,11824403.21,11660532.3,14749221.44,9368448.268,9169192.154,8968521.868,8457727.392,5420503.32,8713277.808,15542872.2,8002425.555,8534123.429,7972648.419,582744.197,5997807.367,8857450.873,8276342.121,8465792.517,8675996.958,5626845.472,7523419.28,6826736.163,4415157.412,6390846.7,3520021.272,6414357.604,6504187.696,5267183.166,10739984.61,6378848.721,2803196.8,6445198.777
