"Metabolite","p_value"
"Path1",0.764500377329673
"Path2",0.240572045814503
"Path3",0.549270050052266
"Path4",0.106402097716172
"Path5",0.815009555890214
"Path6",0.714569102480775
"Path7",0.321515472844088
"Path8",0.775217425246163
"Path9",0.498915037368934
"Path10",0.517092258857018
"Path11",0.18520728016426
"Path12",0.449935717174234
"Path13",0.637934034792868
"Path14",0.78205588012353
"Path15",0.632730775484548
"Path16",0.106402097716172
"Path17",0.72972319601896
"Path18",0.890057620636692
"Path19",0.914421664270246
"Path20",0.357560591635771
"Path21",0.513536834449144
"Path22",0.451072967306061
"Path23",0.911072111608577
"Path24",0.735037253717044
"Path25",0.74822422477244
"Path26",0.11001687453972
"Path27",0.883540317576586
"Path28",0.435172447013667
"Path29",0.584495385422371
"Path30",0.512693067959519
"Path31",0.775217425246163
"Path32",0.498915037368934
"Path33",0.517092258857018
"Path34",0.18520728016426
"Path35",0.449935717174234
"Path36",0.905666152497795
"Path37",0.758582718507245
"Path38",0.106402097716172
"Path39",0.72972319601896
"Path40",0.716675973792198
"Path41",0.927658162271726
"Path42",0.914421664270246
"Path43",0.357560591635771
"Path44",0.773311581973831
"Path45",0.513536834449144
"Path46",0.316641787016759
"Path47",0.399625462673401
"Path48",0.911072111608577
"Path49",0.660803301266731
"Path50",0.735037253717044
"Path51",0.956585698563035
"Path52",0.942039036519104
"Path53",0.837802747389207
"Path54",0.11001687453972
"Path55",0.883540317576586
"Path56",0.319809210513072
"Path57",0.217911015088464
"Path58",0.624568702228681
"Path59",0.217680126760658
"Path60",0.435172447013667
"Path61",0.628715166333159
"Path62",0.584495385422371
"Path63",0.512693067959519
"Path64",0.810770325275594
"Path65",0.814078931065009
"Path66",0.775217425246163
"Path67",0.498915037368934
"Path68",0.517092258857018
"Path69",0.217187140530199
"Path70",0.449935717174234
"Path71",0.905666152497795
"Path72",0.106402097716172
"Path73",0.72972319601896
"Path74",0.716675973792198
"Path75",0.433351909948041
"Path76",0.992335241077031
"Path77",0.914421664270246
"Path78",0.225901738697891
"Path79",0.357560591635771
"Path80",0.773311581973831
"Path81",0.513536834449144
"Path82",0.200561007545332
"Path83",0.201393848676906
"Path84",0.316641787016759
"Path85",0.782248115270176
"Path86",0.545388107698574
"Path87",0.911072111608577
"Path88",0.735037253717044
"Path89",0.485483920348216
"Path90",0.795826814912828
"Path91",0.3025004885553
"Path92",0.942039036519104
"Path93",0.691673781169668
"Path94",0.837802747389207
"Path95",0.43613557844266
"Path96",0.11001687453972
"Path97",0.883540317576586
"Path98",0.319809210513072
"Path99",0.151394995210502
"Path100",0.583237603964948
"Path101",0.217680126760658
"Path102",0.435172447013667
"Path103",0.620263121918823
"Path104",0.271643123129779
"Path105",0.709659687610839
"Path106",0.46892916817744
"Path107",0.305936876847996
"Path108",0.867604134248835
"Path109",0.238938157381867
"Path110",0.584495385422371
"Path111",0.512693067959519
"Path112",0.851608099974645
"Path113",0.326885254792325
"Path114",0.230053032378273
"Path115",0.489610967171362
"Path116",0.890358407890152
"Path117",0.511835885407955
"Path118",0.376197416480709
"Path119",0.600459983027813
"Path120",0.854471609646423
"Path121",0.524414666722831
"Path122",0.546811145965442
"Path123",0.557802872141296
"Path124",0.338221989748778
"Path125",0.72972319601896
"Path126",0.732537574606475
"Path127",0.716675973792198
"Path128",0.406964471110696
"Path129",0.992335241077031
"Path130",0.914421664270246
"Path131",0.290871888016168
"Path132",0.797486946901981
"Path133",0.514314790957148
"Path134",0.616759357701576
"Path135",0.24098960630607
"Path136",0.859229420614822
"Path137",0.446319054629563
"Path138",0.958689137504739
"Path139",0.104136146430517
"Path140",0.439104934380438
"Path141",0.428153114413742
"Path142",0.482348374646453
"Path143",0.627139885686287
"Path144",0.911072111608577
"Path145",0.914415303788012
"Path146",0.925615639999763
"Path147",0.250076446339887
"Path148",0.942039036519104
"Path149",0.587552010929913
"Path150",0.29851868821101
"Path151",0.769955286870303
"Path152",0.11001687453972
"Path153",0.701891896141878
"Path154",0.230494764087699
"Path155",0.115937811761394
"Path156",0.972940136554972
"Path157",0.223981288671174
"Path158",0.151394995210502
"Path159",0.576139549821191
"Path160",0.206819931763276
"Path161",0.632301292286038
"Path162",0.583237603964948
"Path163",0.217680126760658
"Path164",0.901725463698278
"Path165",0.0809653373092069
"Path166",0.988082261586007
"Path167",0.267921986348661
"Path168",0.605752253997
"Path169",0.429874501931976
"Path170",0.660135429818405
"Path171",0.555051398960396
"Path172",0.901945467394189
"Path173",0.867604134248835
"Path174",0.302194709629351
"Path175",0.713387635102343
"Path176",0.627393710534756
"Path177",0.776575057694042
"Path178",0.855055459240411
"Path179",0.512693067959519
"Path180",0.66890024363033
"Path181",0.581583364136859
"Path182",0.885930452468474
"Path183",0.416306044277439
"Path184",0.0927864839568905
"Path185",0.293049562148566
"Path186",0.163559330501848
"Path187",0.851608099974645
"Path188",0.328183261880671
"Path189",0.725068307993174
"Path190",0.316018469112891
"Path191",0.226409842759319
"Path192",0.875670430935266
"Path193",0.890358407890152
