"Metabolite","p_value"
"Path1",7.75357151442201e-08
"Path2",7.19693033978134e-07
"Path3",1.38355515001879e-07
"Path4",0.012620014420379
"Path5",4.27168643258095e-06
"Path6",2.7171459746613e-05
"Path7",0.401803988887828
"Path8",2.33305650428835e-12
"Path9",8.24494495231111e-16
"Path10",9.48804932840355e-14
"Path11",0.393507113823036
"Path12",5.62911702053598e-08
"Path13",0.613429435397447
"Path14",0.000350485690037587
"Path15",0.000234911186951129
"Path16",0.012620014420379
"Path17",8.24739023117194e-12
"Path18",0.615995209933361
"Path19",4.54129459950731e-12
"Path20",0.430827039691577
"Path21",0.0809578877509525
"Path22",0.0287449161371843
"Path23",0.164822149170606
"Path24",0.000130634997639753
"Path25",0.144331630668374
"Path26",0.0144827640791265
"Path27",0.00376223689520424
"Path28",0.16353484868245
"Path29",0.00195941624485684
"Path30",1.26892679013149e-07
"Path31",2.33305650428835e-12
"Path32",8.24494495231111e-16
"Path33",9.48804932840355e-14
"Path34",0.393507113823036
"Path35",5.62911702053598e-08
"Path36",0.0517837127828445
"Path37",0.000321556962056941
"Path38",0.012620014420379
"Path39",8.24739023117194e-12
"Path40",6.79340115977678e-12
"Path41",0.0137127721710656
"Path42",4.54129459950731e-12
"Path43",0.430827039691577
"Path44",9.0536234098439e-05
"Path45",0.0809578877509525
"Path46",0.335514719175344
"Path47",0.0387159814133182
"Path48",0.164822149170606
"Path49",0.0138709375331233
"Path50",0.000130634997639753
"Path51",0.0583310899321959
"Path52",7.8259773731978e-11
"Path53",0.347212575724683
"Path54",0.0144827640791265
"Path55",0.00376223689520424
"Path56",0.178172691897303
"Path57",0.055123481681192
"Path58",0.17823238932388
"Path59",0.0110688796899948
"Path60",0.16353484868245
"Path61",0.699768593977806
"Path62",0.00195941624485684
"Path63",1.26892679013149e-07
"Path64",0.0513036652184628
"Path65",4.87645148359002e-06
"Path66",2.33305650428835e-12
"Path67",8.24494495231111e-16
"Path68",9.48804932840355e-14
"Path69",0.419274751403831
"Path70",5.62911702053598e-08
"Path71",0.0517837127828445
"Path72",0.012620014420379
"Path73",8.24739023117194e-12
"Path74",6.79340115977678e-12
"Path75",0.200058004740463
"Path76",0.00303991906088674
"Path77",4.54129459950731e-12
"Path78",0.000931001185118484
"Path79",0.430827039691577
"Path80",9.0536234098439e-05
"Path81",0.0809578877509525
"Path82",0.0335586215033058
"Path83",1.17884316845823e-09
"Path84",0.335514719175344
"Path85",4.21498160825214e-06
"Path86",0.0335801488481283
"Path87",0.164822149170606
"Path88",0.000130634997639753
"Path89",0.0058241457887412
"Path90",0.00979110288435393
"Path91",0.483044314582151
"Path92",7.8259773731978e-11
"Path93",0.0403083077789651
"Path94",0.347212575724683
"Path95",0.835459505881498
"Path96",0.0144827640791265
"Path97",0.00376223689520424
"Path98",0.178172691897303
"Path99",0.237912781955893
"Path100",0.823823370552158
"Path101",0.0110688796899948
"Path102",0.16353484868245
"Path103",0.0148409791908507
"Path104",0.0458179086562633
"Path105",0.454267722668065
"Path106",0.323813974908308
"Path107",0.453008339943134
"Path108",0.501698441898629
"Path109",0.598541316022153
"Path110",0.00195941624485684
"Path111",1.26892679013149e-07
"Path112",0.102820814980532
"Path113",0.167824967528628
"Path114",0.000969134040133377
"Path115",2.16973735090035e-15
"Path116",2.58292826381407e-13
"Path117",1.45344300960725e-13
"Path118",4.18141511263538e-17
"Path119",4.20608944829287e-10
"Path120",2.10424321304009e-06
"Path121",1.83092368641557e-15
"Path122",1.0439272228363e-10
"Path123",1.91870269911568e-08
"Path124",1.00529817726653e-13
"Path125",8.24739023117194e-12
"Path126",3.70653798418816e-10
"Path127",6.79340115977678e-12
"Path128",0.238180311070157
"Path129",0.00303991906088674
"Path130",4.54129459950731e-12
"Path131",3.13841383673462e-08
"Path132",5.82559629112689e-05
"Path133",0.407164084391681
"Path134",1.07550251459317e-05
"Path135",4.46637142327488e-10
"Path136",9.49713706801921e-06
"Path137",0.00587769626750566
"Path138",0.0153833233006367
"Path139",0.423288644089463
"Path140",0.469476941520945
"Path141",1.04151288851978e-05
"Path142",0.000228990810659378
"Path143",0.479234148611207
"Path144",0.164822149170606
"Path145",8.17128489132241e-05
"Path146",0.700040777905467
"Path147",0.0101880191810923
"Path148",7.8259773731978e-11
"Path149",0.0200134333187283
"Path150",0.474141414220663
"Path151",0.0518007676596765
"Path152",0.0144827640791265
"Path153",3.99981830454817e-05
"Path154",0.21643506211842
"Path155",0.0500446304709974
"Path156",0.495816128103957
"Path157",0.0436146668830011
"Path158",0.237912781955893
"Path159",0.00360687725929768
"Path160",0.134573503817778
"Path161",0.778393595700506
"Path162",0.823823370552158
"Path163",0.0110688796899948
"Path164",0.000225240836594541
"Path165",0.000180349038241079
"Path166",0.00468701733878315
"Path167",0.0406215973109908
"Path168",0.574333360505763
"Path169",0.322716182566113
"Path170",0.0303338821555134
"Path171",0.00250333625400682
"Path172",0.670557217427479
"Path173",0.501698441898629
"Path174",0.28061791450666
"Path175",0.0230614110845559
"Path176",0.393980576966084
"Path177",0.0459494069002928
"Path178",0.0107908800514709
"Path179",1.26892679013149e-07
"Path180",0.132007191385252
"Path181",0.113614177131449
"Path182",0.0003613938366035
"Path183",0.201184582734314
"Path184",9.74308825646194e-06
"Path185",0.036879836725218
"Path186",0.0041822260715303
"Path187",0.102820814980532
"Path188",0.41325191406246
"Path189",0.189184223283101
"Path190",0.149533800993682
"Path191",0.00101981942183537
"Path192",0.0607022264007612
"Path193",2.58292826381407e-13
"Path194",3.00791365038452e-14
"Path195",3.00590758545323e-14
"Path196",4.18141511263538e-17
"Path197",4.20608944829287e-10
"Path198",2.10424321304009e-06
"Path199",2.47885445936741e-15
"Path200",1.0439272228363e-10
"Path201",1.96055883496256e-15
"Path202",1.91870269911568e-08
"Path203",1.00529817726653e-13
"Path204",8.24739023117194e-12
"Path205",3.70653798418816e-10
"Path206",6.79340115977678e-12
"Path207",5.14329466216489e-09
"Path208",2.12334813745925e-05
"Path209",4.54129459950731e-12
"Path210",5.82559629112689e-05
"Path211",7.79270977875506e-11
"Path212",0.000200940265121181
"Path213",0.258914221041468
"Path214",1.07550251459317e-05
"Path215",0.0757770468964919
"Path216",4.46637142327488e-10
"Path217",9.49713706801921e-06
"Path218",0.0164106914020873
"Path219",1.69831947468032e-09
"Path220",2.55195250501172e-07
"Path221",3.14673427279916e-05
"Path222",1.18134217022683e-05
"Path223",0.0557718187958723
"Path224",1.11843616081926e-07
"Path225",1.04151288851978e-05
"Path226",9.28635003601579e-08
"Path227",0.479234148611207
"Path228",0.164822149170606
"Path229",8.17128489132241e-05
"Path230",0.000196920373454012
"Path231",7.8259773731978e-11
"Path232",0.000313299431534818
"Path233",0.0200134333187283
"Path234",0.474141414220663
"Path235",0.00386537637610486
"Path236",0.0144827640791265
"Path237",3.99981830454817e-05
"Path238",0.00877760706227294
"Path239",0.00386780269684512
"Path240",0.21643506211842
"Path241",0.0032407455827048
"Path242",0.0955475923829485
"Path243",7.20056912859552e-10
"Path244",0.0500446304709974
"Path245",0.495816128103957
"Path246",0.00430336530166834
"Path247",0.831147373113939
"Path248",0.0454277084528165
"Path249",0.000922916699671845
"Path250",0.0344352610945729
"Path251",0.134573503817778
"Path252",0.422806241109593
"Path253",0.805392261046925
"Path254",0.00657625569684004
"Path255",0.000225240836594541
"Path256",0.000214573366437572
"Path257",0.000180349038241079
"Path258",0.00468701733878315
"Path259",0.183980435919819
"Path260",0.471430285187988
"Path261",0.0458276184769963
"Path262",0.00864398743120397
"Path263",0.460591352044118
"Path264",0.0303338821555134
"Path265",0.484537718753417
"Path266",0.0549908988623641
"Path267",0.00711032613207156
"Path268",0.00262064252322156
"Path269",0.501698441898629
"Path270",0.0138254816060188
"Path271",0.0172476221870442
"Path272",1.57469556936096e-08
"Path273",0.0301334933180926
"Path274",0.359213401095265
"Path275",0.0230614110845559
"Path276",0.41325191406246
"Path277",0.00678599491816414
"Path278",0.393980576966084
"Path279",0.0459494069002928
"Path280",0.448920723751776
"Path281",0.00115850312073571
"Path282",0.00773854670028938
"Path283",0.0868349375222564
"Path284",1.26892679013149e-07
"Path285",0.00692934853852807
"Path286",0.132007191385252
"Path287",0.670960113581264
"Path288",0.0327714172953804
"Path289",0.0923275165828431
"Path290",0.0003613938366035
"Path291",0.0261082689545184
"Path292",0.201184582734314
"Path293",9.74308825646194e-06
"Path294",0.0041822260715303
"Path295",0.0305986876486974
"Path296",0.41325191406246
"Path297",0.011500925411329
"Path298",0.0003836192624876
"Path299",0.0591073273756588
"Path300",0.234353828958393
"Path301",0.00468514712196498
"Path302",0.00289337324947359
"Path303",0.41325191406246
"Path304",0.0982173640096937
"Path305",0.0598514127275655
"Path306",2.58292826381407e-13
"Path307",3.00791365038452e-14
"Path308",3.00590758545323e-14
"Path309",4.18141511263538e-17
"Path310",4.20608944829287e-10
"Path311",2.10424321304009e-06
"Path312",2.47885445936741e-15
"Path313",1.0439272228363e-10
"Path314",1.96055883496256e-15
"Path315",1.91870269911568e-08
"Path316",1.00529817726653e-13
"Path317",8.24739023117194e-12
"Path318",3.70653798418816e-10
"Path319",6.79340115977678e-12
"Path320",5.14329466216489e-09
"Path321",2.12334813745925e-05
"Path322",4.54129459950731e-12
"Path323",5.82559629112689e-05
"Path324",7.79270977875506e-11
"Path325",0.000200940265121181
"Path326",0.258914221041468
"Path327",1.07550251459317e-05
"Path328",0.0757770468964919
"Path329",4.46637142327488e-10
"Path330",9.49713706801921e-06
"Path331",0.0164106914020873
"Path332",1.69831947468032e-09
"Path333",2.55195250501172e-07
"Path334",3.14673427279916e-05
"Path335",1.18134217022683e-05
"Path336",0.0557718187958723
"Path337",1.11843616081926e-07
"Path338",1.04151288851978e-05
"Path339",9.28635003601579e-08
"Path340",0.479234148611207
"Path341",0.164822149170606
"Path342",8.17128489132241e-05
"Path343",0.000196920373454012
"Path344",7.8259773731978e-11
"Path345",0.000313299431534818
"Path346",0.0200134333187283
"Path347",0.00386537637610486
"Path348",0.0144827640791265
"Path349",3.99981830454817e-05
"Path350",0.00877760706227294
"Path351",0.00386780269684512
"Path352",0.21643506211842
"Path353",0.0032407455827048
"Path354",0.0955475923829485
"Path355",7.20056912859552e-10
"Path356",0.0500446304709974
"Path357",0.495816128103957
"Path358",0.00430336530166834
"Path359",0.831147373113939
"Path360",0.503680326780658
"Path361",0.0454277084528165
"Path362",0.00343559669241244
"Path363",0.000922916699671845
"Path364",0.0344352610945729
"Path365",0.134573503817778
"Path366",0.422806241109593
"Path367",0.805392261046925
"Path368",0.00657625569684004
"Path369",0.000225240836594541
"Path370",0.000214573366437572
"Path371",0.000180349038241079
"Path372",0.00468701733878315
"Path373",0.183980435919819
"Path374",0.471430285187988
"Path375",0.0458276184769963
"Path376",0.00864398743120397
"Path377",0.460591352044118
"Path378",0.0303338821555134
"Path379",0.484537718753417
"Path380",0.0549908988623641
"Path381",0.00711032613207156
"Path382",0.00262064252322156
"Path383",0.501698441898629
"Path384",0.0138254816060188
"Path385",0.0172476221870442
"Path386",1.57469556936096e-08
"Path387",0.0301334933180926
"Path388",0.359213401095265
"Path389",0.0230614110845559
"Path390",0.41325191406246
"Path391",0.00678599491816414
"Path392",0.393980576966084
"Path393",0.0459494069002928
"Path394",0.448920723751776
"Path395",0.00115850312073571
"Path396",0.00773854670028938
"Path397",0.0868349375222564
"Path398",3.47277391835659e-08
"Path399",0.00692934853852807
"Path400",0.132007191385252
"Path401",0.670960113581264
"Path402",0.0327714172953804
"Path403",0.0923275165828431
"Path404",0.0003613938366035
"Path405",0.0261082689545184
"Path406",0.201184582734314
"Path407",9.74308825646194e-06
"Path408",0.0041822260715303
"Path409",0.0305986876486974
"Path410",0.41325191406246
"Path411",0.011500925411329
"Path412",0.0003836192624876
"Path413",0.0591073273756588
"Path414",0.234353828958393
"Path415",0.00468514712196498
"Path416",0.00289337324947359
"Path417",0.41325191406246
"Path418",0.0982173640096937
"Path419",0.0598514127275655
"Path420",0.0010174604973437
"Path421",0.0554703679206316
"Path422",0.261704892423074
"Path423",0.0541597962684156
"Path424",0.411361936483284
"Path425",0.00960769985598554
"Path426",0.431131059631479
"Path427",0.541644614054002
"Path428",0.0104378743715435
"Path429",0.666480503519425
"Path430",0.0737854377718709
"Path431",0.261704892423074
