"Metabolite","p_value"
"Path1",2.34513833666948e-08
"Path2",1.12080141171303e-06
"Path3",4.4571222990933e-09
"Path4",0.035997804121603
"Path5",7.85273371360457e-08
"Path6",8.52623355802777e-07
"Path7",0.272423664025024
"Path8",2.49321155480116e-14
"Path9",3.08707228773268e-14
"Path10",1.79122449909681e-13
"Path11",0.816491147369448
"Path12",4.87813187543969e-09
"Path13",0.198242817162424
"Path14",1.46015078502442e-05
"Path15",8.86170972968453e-06
"Path16",0.035997804121603
"Path17",1.43022683286251e-13
"Path18",0.625658586079577
"Path19",1.69960683362637e-14
"Path20",0.184623876004149
"Path21",0.0166211739522659
"Path22",0.00546255566017087
"Path23",0.0246563727805567
"Path24",4.59855325980269e-06
"Path25",0.0185600487848545
"Path26",0.0396523488921814
"Path27",0.0001763262022789
"Path28",0.0400263206896574
"Path29",0.000129009792289976
"Path30",1.04088121843901e-08
"Path31",2.49321155480116e-14
"Path32",3.08707228773268e-14
"Path33",1.79122449909681e-13
"Path34",0.816491147369448
"Path35",4.87813187543969e-09
"Path36",0.00612825364494954
"Path37",1.33476288998533e-05
"Path38",0.035997804121603
"Path39",1.43022683286251e-13
"Path40",1.3947036321183e-13
"Path41",0.000906496533770823
"Path42",1.69960683362637e-14
"Path43",0.184623876004149
"Path44",2.65614978914812e-06
"Path45",0.0166211739522659
"Path46",0.123381400977268
"Path47",0.0080630101541609
"Path48",0.0246563727805567
"Path49",0.00234788163973105
"Path50",4.59855325980269e-06
"Path51",0.00525065167300243
"Path52",3.53398622359733e-13
"Path53",0.126697954775085
"Path54",0.0396523488921814
"Path55",0.0001763262022789
"Path56",0.0789325414776451
"Path57",0.0215285583243929
"Path58",0.0290634729374824
"Path59",0.00747185013825763
"Path60",0.0400263206896574
"Path61",0.732469500612726
"Path62",0.000129009792289976
"Path63",1.04088121843901e-08
"Path64",0.00456777840948741
"Path65",8.76063331462259e-08
"Path66",2.49321155480116e-14
"Path67",3.08707228773268e-14
"Path68",1.79122449909681e-13
"Path69",0.596923934762009
"Path70",4.87813187543969e-09
"Path71",0.00612825364494954
"Path72",0.035997804121603
"Path73",1.43022683286251e-13
"Path74",1.3947036321183e-13
"Path75",0.0519537718986034
"Path76",0.000130749962895745
"Path77",1.69960683362637e-14
"Path78",0.000501961601986363
"Path79",0.184623876004149
"Path80",2.65614978914812e-06
"Path81",0.0166211739522659
"Path82",0.0574656931374978
"Path83",3.0236186024718e-08
"Path84",0.123381400977268
"Path85",8.14365561266047e-08
"Path86",0.00529945382767237
"Path87",0.0246563727805567
"Path88",4.59855325980269e-06
"Path89",0.000534726249138516
"Path90",0.000643255288490744
"Path91",0.33696698509943
"Path92",3.53398622359733e-13
"Path93",0.00566245956849019
"Path94",0.126697954775085
"Path95",0.613558941627987
"Path96",0.0396523488921814
"Path97",0.0001763262022789
"Path98",0.0789325414776451
"Path99",0.225416616289453
"Path100",0.806237982442581
"Path101",0.00747185013825763
"Path102",0.0400263206896574
"Path103",0.00258038031998152
"Path104",0.0226604576182514
"Path105",0.293695139354043
"Path106",0.403501632149569
"Path107",0.345201675303088
"Path108",0.571415755019826
"Path109",0.492999039761308
"Path110",0.000129009792289976
"Path111",1.04088121843901e-08
"Path112",0.0111096874147067
"Path113",0.0846741269987259
"Path114",0.000839685555110256
"Path115",6.27706133015955e-14
"Path116",8.83332330450318e-16
"Path117",2.48619171855371e-13
"Path118",6.79822957471546e-13
"Path119",2.50868816267638e-11
"Path120",3.40217250748729e-08
"Path121",2.06623211115404e-14
"Path122",1.7049013114789e-11
"Path123",1.27325664914081e-09
"Path124",2.6086658964327e-11
"Path125",1.43022683286251e-13
"Path126",5.77974351645545e-12
"Path127",1.3947036321183e-13
"Path128",0.0666262344915789
"Path129",0.000130749962895745
"Path130",1.69960683362637e-14
"Path131",5.43051973167053e-08
"Path132",1.57634992200659e-06
"Path133",0.124560285490427
"Path134",3.16514286461561e-07
"Path135",1.50153131952543e-08
"Path136",1.82522010819265e-07
"Path137",0.016630215400139
"Path138",0.000941447307408848
"Path139",0.646965175429614
"Path140",0.157738451967589
"Path141",1.07637196069402e-06
"Path142",1.87766898299435e-05
"Path143",0.635940666996869
"Path144",0.0246563727805567
"Path145",1.96987692686731e-06
"Path146",0.296156773779105
"Path147",0.00632256235243371
"Path148",3.53398622359733e-13
"Path149",0.00214984764898035
"Path150",0.332448966503335
"Path151",0.00516965106712186
"Path152",0.0396523488921814
"Path153",1.32794531146649e-06
"Path154",0.225123581171288
"Path155",0.134217599387992
"Path156",0.113484210779354
"Path157",0.030991883346511
"Path158",0.225416616289453
"Path159",0.000299538651826185
"Path160",0.142218440087623
"Path161",0.345920800504741
"Path162",0.806237982442581
"Path163",0.00747185013825763
"Path164",6.394905773664e-06
"Path165",0.00202708313018786
"Path166",0.000219826405335403
"Path167",0.0202469664839373
"Path168",0.785384634094832
"Path169",0.367740516710183
"Path170",0.0028531861519797
"Path171",0.000272838326738662
"Path172",0.597850225142656
"Path173",0.571415755019826
"Path174",0.198770074383287
"Path175",0.00195496708524699
"Path176",0.106940704707729
"Path177",0.00424451190831556
"Path178",0.000643853545510692
"Path179",1.04088121843901e-08
"Path180",0.0413598350214708
"Path181",0.0233797335026922
"Path182",1.12077012311366e-05
"Path183",0.0697870618730178
"Path184",0.000295927869879991
"Path185",0.0152696792287699
"Path186",0.00528658287772989
"Path187",0.0111096874147067
"Path188",0.328183261880671
"Path189",0.0305162189936174
"Path190",0.0713336187211996
"Path191",0.000829354969293204
"Path192",0.00589541498939371
"Path193",8.83332330450318e-16
"Path194",7.33328083241121e-14
"Path195",5.04747578844464e-13
"Path196",6.79822957471546e-13
"Path197",2.50868816267638e-11
"Path198",3.40217250748729e-08
"Path199",1.95522965018625e-14
"Path200",1.7049013114789e-11
"Path201",1.66127727762454e-15
"Path202",1.27325664914081e-09
"Path203",2.6086658964327e-11
"Path204",1.43022683286251e-13
"Path205",5.77974351645545e-12
"Path206",1.3947036321183e-13
"Path207",3.83867578541066e-11
"Path208",1.29821395491604e-06
"Path209",1.69960683362637e-14
"Path210",1.57634992200659e-06
"Path211",7.41296752294715e-11
"Path212",0.00479976853879563
"Path213",0.0465267651993923
"Path214",3.16514286461561e-07
"Path215",0.00762140087917283
"Path216",1.50153131952543e-08
"Path217",1.82522010819265e-07
"Path218",0.00102378960638618
"Path219",1.44317993320124e-07
"Path220",3.79368403088415e-08
"Path221",7.27822685233267e-06
"Path222",7.57891636359658e-06
"Path223",0.00783222592036184
"Path224",1.54950213055952e-09
"Path225",1.07637196069402e-06
"Path226",3.59324966681814e-07
"Path227",0.635940666996869
"Path228",0.0246563727805567
"Path229",1.96987692686731e-06
"Path230",5.21821519146405e-05
"Path231",3.53398622359733e-13
"Path232",9.11104568981852e-06
"Path233",0.00214984764898035
"Path234",0.332448966503335
"Path235",0.000584794290484436
"Path236",0.0396523488921814
"Path237",1.32794531146649e-06
"Path238",0.00146816855297471
"Path239",0.00134832087107158
"Path240",0.225123581171288
"Path241",0.000315287461836763
"Path242",0.011265404688097
"Path243",3.99559416611373e-12
"Path244",0.134217599387992
"Path245",0.113484210779354
"Path246",0.000924557765855284
"Path247",0.772555690371865
"Path248",0.0316441948786627
"Path249",3.19534861969148e-05
"Path250",0.00321793443404719
"Path251",0.142218440087623
"Path252",0.34427996194497
"Path253",0.75835974293033
"Path254",0.00314043146635076
"Path255",6.394905773664e-06
"Path256",0.00084947389788804
"Path257",0.00202708313018786
"Path258",0.000219826405335403
"Path259",0.156631495723174
"Path260",0.147586149886158
"Path261",0.0219798668823191
"Path262",0.000473905413042578
"Path263",0.416062854823586
"Path264",0.0028531861519797
"Path265",0.150228326069441
"Path266",0.125487152261976
"Path267",0.00465930322285373
"Path268",0.000294387474838668
"Path269",0.571415755019826
"Path270",0.00843179159979147
"Path271",0.0441242921880409
"Path272",5.54121214216048e-08
"Path273",0.00524892849879267
"Path274",0.276501220459827
"Path275",0.00195496708524699
"Path276",0.32818326188067
"Path277",0.00224472214930432
"Path278",0.106940704707729
"Path279",0.00424451190831556
"Path280",0.194213379438836
"Path281",4.43459430542093e-05
"Path282",0.000405548991410141
"Path283",0.0131070735058407
"Path284",1.04088121843901e-08
"Path285",0.00438054069922235
"Path286",0.0413598350214708
"Path287",0.745389063240005
"Path288",0.058672818219545
"Path289",0.0183966021849484
"Path290",1.12077012311366e-05
"Path291",0.00187148091592009
"Path292",0.0697870618730178
"Path293",0.000295927869879991
"Path294",0.00528658287772989
"Path295",0.00268499616270274
"Path296",0.328183261880671
"Path297",0.000713274552930268
"Path298",3.68135397233315e-05
"Path299",0.00704818106958226
"Path300",0.040036207841905
"Path301",0.000290896364111607
"Path302",0.000374800017283179
"Path303",0.328183261880671
"Path304",0.0491886869815616
"Path305",0.00525096438284173
"Path306",8.83332330450318e-16
"Path307",7.33328083241121e-14
"Path308",5.04747578844464e-13
"Path309",6.79822957471546e-13
"Path310",2.50868816267638e-11
"Path311",3.40217250748729e-08
"Path312",1.95522965018625e-14
"Path313",1.7049013114789e-11
"Path314",1.66127727762454e-15
"Path315",1.27325664914081e-09
