"Metabolite","Comparison","W","p_value","Higher"
"Path1","W vs D",84,0.513722581093694,"W"
"Path2","W vs D",51,0.241523787828809,"D"
"Path3","W vs D",82,0.589875732021377,"W"
"Path4","W vs D",49,0.197808114620606,"D"
"Path5","W vs D",59,0.477575258232143,"D"
"Path6","W vs D",71,0.977402191293698,"D"
"Path7","W vs D",83,0.551167166391288,"W"
"Path8","W vs D",78,0.734352911436861,"W"
"Path9","W vs D",56,0.338908345028747,"D"
"Path10","W vs D",88,0.37768531105454,"W"
"Path11","W vs D",41,0.0780243447493414,"D"
"Path12","W vs D",83,0.551167166391288,"W"
"Path13","W vs D",87,0.409510398068751,"W"
"Path14","W vs D",73,0.977402191293698,"W"
"Path15","W vs D",64,0.670659532955939,"D"
"Path16","W vs D",49,0.197808114620606,"D"
"Path17","W vs D",67,0.781286742617648,"D"
"Path18","W vs D",79,0.712535075639127,"W"
"Path19","W vs D",70,0.926263032416079,"D"
"Path20","W vs D",55,0.347357918699957,"D"
"Path21","W vs D",81,0.629725504001988,"W"
"Path22","W vs D",74,0.932300503373326,"D"
"Path23","W vs D",64.5,0.685457928866042,"D"
"Path24","W vs D",70,0.932300503373326,"D"
"Path25","W vs D",60,0.513722581093694,"D"
"Path26","W vs D",45,0.0683002193625142,"D"
"Path27","W vs D",71,0.977402191293698,"D"
"Path28","W vs D",67,0.789575027010139,"W"
"Path29","W vs D",63,0.623302662725122,"D"
"Path30","W vs D",82.5,0.549009581213264,"W"
"Path31","W vs D",78,0.734352911436861,"W"
"Path32","W vs D",56,0.338908345028747,"D"
"Path33","W vs D",88,0.37768531105454,"W"
"Path34","W vs D",41,0.0780243447493414,"D"
"Path35","W vs D",83,0.551167166391288,"W"
"Path36","W vs D",80,0.670659532955939,"W"
"Path37","W vs D",74,0.932300503373326,"W"
"Path38","W vs D",49,0.197808114620606,"D"
"Path39","W vs D",67,0.781286742617648,"D"
"Path40","W vs D",81,0.599975333812804,"W"
"Path41","W vs D",64,0.670659532955939,"D"
"Path42","W vs D",70,0.926263032416079,"D"
"Path43","W vs D",55,0.347357918699957,"D"
"Path44","W vs D",66.5,0.768684909939457,"D"
"Path45","W vs D",81,0.629725504001988,"W"
"Path46","W vs D",53,0.291342659225281,"D"
"Path47","W vs D",76,0.842835990231333,"W"
"Path48","W vs D",64.5,0.685457928866042,"D"
"Path49","W vs D",62,0.589875732021377,"D"
"Path50","W vs D",70,0.932300503373326,"D"
"Path51","W vs D",68,0.842835990231333,"W"
"Path52","W vs D",66,0.734352911436861,"D"
"Path53","W vs D",55,0.347357918699957,"D"
"Path54","W vs D",45,0.0683002193625142,"D"
"Path55","W vs D",71,0.977402191293698,"D"
"Path56","W vs D",68,0.842835990231333,"W"
"Path57","W vs D",37.5,0.0479174976998167,"D"
"Path58","W vs D",87,0.409510398068751,"W"
"Path59","W vs D",58.5,0.371154895890766,"D"
"Path60","W vs D",67,0.789575027010139,"W"
"Path61","W vs D",82,0.589875732021377,"W"
"Path62","W vs D",63,0.623302662725122,"D"
"Path63","W vs D",82.5,0.549009581213264,"W"
"Path64","W vs D",59,0.470100088433398,"D"
"Path65","W vs D",70,0.932300503373326,"D"
"Path66","W vs D",78,0.734352911436861,"W"
"Path67","W vs D",56,0.338908345028747,"D"
"Path68","W vs D",88,0.37768531105454,"W"
"Path69","W vs D",44,0.113502327528441,"D"
"Path70","W vs D",83,0.551167166391288,"W"
"Path71","W vs D",80,0.670659532955939,"W"
"Path72","W vs D",49,0.197808114620606,"D"
"Path73","W vs D",67,0.781286742617648,"D"
"Path74","W vs D",81,0.599975333812804,"W"
"Path75","W vs D",57,0.409510398068751,"D"
"Path76","W vs D",68,0.842835990231333,"D"
"Path77","W vs D",70,0.926263032416079,"D"
"Path78","W vs D",54,0.318585170382182,"D"
"Path79","W vs D",55,0.347357918699957,"D"
"Path80","W vs D",66.5,0.768684909939457,"D"
"Path81","W vs D",81,0.629725504001988,"W"
"Path82","W vs D",91,0.291342659225281,"W"
"Path83","W vs D",56.5,0.368723315956095,"D"
"Path84","W vs D",53,0.291342659225281,"D"
"Path85","W vs D",63,0.629725504001988,"D"
"Path86","W vs D",70,0.930686180073711,"D"
"Path87","W vs D",64.5,0.685457928866042,"D"
"Path88","W vs D",70,0.932300503373326,"D"
"Path89","W vs D",81,0.629725504001988,"D"
"Path90","W vs D",72,1,"W"
"Path91","W vs D",80,0.670659532955939,"D"
"Path92","W vs D",66,0.734352911436861,"D"
"Path93","W vs D",71,0.976965248614044,"D"
"Path94","W vs D",55,0.347357918699957,"D"
"Path95","W vs D",63,0.623302662725122,"D"
"Path96","W vs D",45,0.0683002193625142,"D"
"Path97","W vs D",71,0.977402191293698,"D"
"Path98","W vs D",68,0.842835990231333,"W"
"Path99","W vs D",30.5,0.0170626415743925,"D"
"Path100","W vs D",57,0.409510398068751,"D"
"Path101","W vs D",58.5,0.371154895890766,"D"
"Path102","W vs D",67,0.789575027010139,"W"
"Path103","W vs D",70,0.93083730541919,"D"
"Path104","W vs D",80,0.643552439767628,"W"
"Path105","W vs D",69,0.88738593483512,"D"
"Path106","W vs D",65,0.675213002370106,"D"
"Path107","W vs D",79,0.712535075639127,"D"
"Path108","W vs D",71,0.977402191293698,"W"
"Path109","W vs D",69,0.885134680430472,"D"
"Path110","W vs D",63,0.623302662725122,"D"
"Path111","W vs D",82.5,0.549009581213264,"W"
"Path112","W vs D",72,1,"W"
"Path113","W vs D",69.5,0.907368197119418,"D"
"Path114","W vs D",70,0.930927507523667,"W"
"Path115","W vs D",55,0.308667124233056,"D"
"Path116","W vs D",74,0.926263032416079,"W"
"Path117","W vs D",91,0.291342659225281,"W"
"Path118","W vs D",54,0.28026637534506,"D"
"Path119","W vs D",80,0.643552439767628,"W"
"Path120","W vs D",78,0.734352911436861,"W"
"Path121","W vs D",56,0.338908345028747,"D"
"Path122","W vs D",80,0.648866853114626,"W"
"Path123","W vs D",79,0.688391202868954,"W"
"Path124","W vs D",54,0.28026637534506,"D"
"Path125","W vs D",67,0.781286742617648,"D"
"Path126","W vs D",80,0.643552439767628,"D"
"Path127","W vs D",81,0.599975333812804,"W"
"Path128","W vs D",56,0.37768531105454,"D"
"Path129","W vs D",68,0.842835990231333,"D"
"Path130","W vs D",70,0.926263032416079,"D"
"Path131","W vs D",61,0.539390201467856,"D"
"Path132","W vs D",67.5,0.810564414649182,"D"
"Path133","W vs D",76,0.842835990231333,"W"
"Path134","W vs D",65,0.699890664502701,"D"
"Path135","W vs D",57,0.370986999782226,"D"
"Path136","W vs D",69,0.877415869798387,"D"
"Path137","W vs D",76,0.842835990231333,"W"
"Path138","W vs D",74,0.926263032416079,"W"
"Path139","W vs D",48,0.178182027959925,"D"
"Path140","W vs D",63,0.629725504001988,"W"
"Path141","W vs D",62,0.578700150132264,"D"
"Path142","W vs D",69,0.879361261036862,"D"
"Path143","W vs D",76,0.838644307414124,"W"
"Path144","W vs D",64.5,0.685457928866042,"D"
"Path145","W vs D",73,0.975389822647644,"D"
"Path146","W vs D",77,0.798745338656498,"W"
"Path147","W vs D",82,0.589875732021377,"W"
"Path148","W vs D",66,0.734352911436861,"D"
"Path149","W vs D",70,0.926263032416079,"D"
"Path150","W vs D",81,0.629725504001988,"D"
"Path151","W vs D",60.5,0.522189941333074,"D"
"Path152","W vs D",45,0.0683002193625142,"D"
"Path153","W vs D",73,0.975389822647644,"W"
"Path154","W vs D",65,0.513856433533076,"D"
"Path155","W vs D",101,0.0728969076690496,"W"
"Path156","W vs D",85,0.477575258232143,"W"
"Path157","W vs D",51,0.173588562918527,"D"
"Path158","W vs D",30.5,0.0170626415743925,"D"
"Path159","W vs D",73,0.975389822647644,"D"
"Path160","W vs D",65,0.513856433533076,"D"
"Path161","W vs D",69,0.838945577582555,"D"
"Path162","W vs D",57,0.409510398068751,"D"
"Path163","W vs D",58.5,0.371154895890766,"D"
"Path164","W vs D",74,0.924796616344562,"W"
"Path165","W vs D",56,0.329362372472238,"D"
"Path166","W vs D",70,0.924796616344562,"D"
"Path167","W vs D",81,0.599975333812804,"W"
"Path168","W vs D",67,0.798745338656498,"D"
"Path169","W vs D",70,0.92068727401145,"D"
"Path170","W vs D",64,0.659109266666119,"D"
"Path171","W vs D",79,0.703996316669057,"D"
"Path172","W vs D",48,0.139185551597228,"D"
"Path173","W vs D",71,0.977402191293698,"W"
"Path174","W vs D",49.5,0.094979877940467,"D"
"Path175","W vs D",64,0.618596705395887,"D"
"Path176","W vs D",70.5,0.939502482206017,"D"
"Path177","W vs D",72.5,1,"D"
"Path178","W vs D",74,0.926263032416079,"W"
"Path179","W vs D",82.5,0.549009581213264,"W"
"Path180","W vs D",82,0.583032680929624,"W"
"Path181","W vs D",62,0.569164331879862,"D"
"Path182","W vs D",72,1,"D"
"Path183","W vs D",69,0.857395151841199,"D"
"Path184","W vs D",86,0.404885483861834,"W"
"Path185","W vs D",69,0.877415869798387,"W"
"Path186","W vs D",91,0.183612694629075,"D"
"Path187","W vs D",72,1,"W"
"Path188","W vs D",66,0.359317338329571,"D"
"Path189","W vs D",77.5,0.764465155548041,"W"
"Path190","W vs D",75,0.877415869798387,"W"
"Path191","W vs D",70.5,0.953859389475635,"W"
"Path192","W vs D",70,0.924796616344562,"D"
"Path193","W vs D",74,0.926263032416079,"W"
"Path194","W vs D",91,0.283373242686996,"W"
"Path195","W vs D",57,0.370986999782226,"D"
"Path196","W vs D",54,0.28026637534506,"D"
"Path197","W vs D",80,0.643552439767628,"W"
"Path198","W vs D",78,0.734352911436861,"W"
"Path199","W vs D",56,0.338908345028747,"D"
"Path200","W vs D",80,0.648866853114626,"W"
"Path201","W vs D",59,0.440570977468647,"D"
"Path202","W vs D",79,0.688391202868954,"W"
"Path203","W vs D",54,0.28026637534506,"D"
"Path204","W vs D",67,0.781286742617648,"D"
"Path205","W vs D",80,0.643552439767628,"D"
"Path206","W vs D",81,0.599975333812804,"W"
"Path207","W vs D",65.5,0.727031984103732,"W"
"Path208","W vs D",87,0.409510398068751,"W"
"Path209","W vs D",70,0.926263032416079,"D"
"Path210","W vs D",67.5,0.810564414649182,"D"
"Path211","W vs D",91,0.291342659225281,"W"
"Path212","W vs D",55,0.299117385231852,"D"
"Path213","W vs D",80,0.661109089588366,"W"
"Path214","W vs D",65,0.699890664502701,"D"
"Path215","W vs D",70,0.926263032416079,"D"
"Path216","W vs D",57,0.370986999782226,"D"
"Path217","W vs D",69,0.877415869798387,"D"
"Path218","W vs D",74,0.926263032416079,"W"
"Path219","W vs D",56,0.338908345028747,"D"
"Path220","W vs D",59,0.447915427991793,"D"
"Path221","W vs D",64,0.643552439767628,"D"
"Path222","W vs D",81,0.599975333812804,"W"
"Path223","W vs D",73,0.974899115511965,"W"
"Path224","W vs D",74,0.927439045221282,"W"
"Path225","W vs D",62,0.578700150132264,"D"
"Path226","W vs D",58,0.404885483861834,"D"
"Path227","W vs D",76,0.838644307414124,"W"
"Path228","W vs D",64.5,0.685457928866042,"D"
"Path229","W vs D",73,0.975389822647644,"D"
"Path230","W vs D",64,0.643552439767628,"D"
"Path231","W vs D",66,0.734352911436861,"D"
"Path232","W vs D",76,0.829031220727544,"W"
"Path233","W vs D",70,0.926263032416079,"D"
"Path234","W vs D",81,0.629725504001988,"D"
"Path235","W vs D",69,0.877415869798387,"W"
"Path236","W vs D",45,0.0683002193625142,"D"
"Path237","W vs D",73,0.975389822647644,"W"
"Path238","W vs D",79,0.688391202868954,"W"
"Path239","W vs D",66.5,0.771130121729444,"D"
"Path240","W vs D",65,0.513856433533076,"D"
"Path241","W vs D",77,0.781286742617648,"W"
"Path242","W vs D",74,0.926263032416079,"W"
"Path243","W vs D",75,0.877415869798387,"D"
"Path244","W vs D",101,0.0728969076690496,"W"
"Path245","W vs D",85,0.477575258232143,"W"
"Path246","W vs D",69,0.87197093399197,"D"
"Path247","W vs D",62,0.580465952546441,"D"
"Path248","W vs D",51,0.173588562918527,"D"
"Path249","W vs D",71,0.975389822647644,"D"
"Path250","W vs D",69,0.877415869798387,"W"
"Path251","W vs D",65,0.513856433533076,"D"
"Path252","W vs D",71.5,1,"D"
"Path253","W vs D",58,0.442833179742589,"D"
"Path254","W vs D",66,0.734352911436861,"D"
"Path255","W vs D",74,0.924796616344562,"W"
"Path256","W vs D",53.5,0.215612859418794,"D"
"Path257","W vs D",56,0.329362372472238,"D"
"Path258","W vs D",70,0.924796616344562,"D"
"Path259","W vs D",29.5,0.0145441783218924,"D"
"Path260","W vs D",56,0.207632261894152,"D"
"Path261","W vs D",82,0.557785244330932,"W"
"Path262","W vs D",66,0.734352911436861,"D"
"Path263","W vs D",60,0.166224591128354,"D"
"Path264","W vs D",64,0.659109266666119,"D"
