"Metabolite","Group1","Group2","P_Value","Higher_Group"
"Path1","H_W","H_D",0.0025974025974026,"H_W"
"Path1","IL_D","H_D",0.0025974025974026,"H_D"
"Path1","IL_W","H_D",0.0025974025974026,"H_D"
"Path1","IL_D","H_W",0.0025974025974026,"H_W"
"Path1","IL_W","H_W",0.0025974025974026,"H_W"
"Path2","H_W","H_D",0.00432900432900433,"H_D"
"Path2","IL_D","H_D",0.00432900432900433,"H_D"
"Path2","IL_W","H_D",0.00432900432900433,"H_D"
"Path2","IL_D","H_W",0.0103896103896104,"H_W"
"Path2","IL_W","H_W",0.0103896103896104,"H_W"
"Path3","IL_D","H_D",0.00324675324675325,"IL_D"
"Path3","IL_W","H_D",0.00324675324675325,"IL_W"
"Path3","IL_D","H_W",0.00324675324675325,"IL_D"
"Path3","IL_W","H_W",0.00324675324675325,"IL_W"
"Path4","H_W","H_D",0.012987012987013,"H_D"
"Path4","IL_D","H_D",0.012987012987013,"H_D"
"Path5","IL_D","H_D",0.00649350649350649,"IL_D"
"Path5","IL_W","H_D",0.00649350649350649,"IL_W"
"Path5","IL_D","H_W",0.00649350649350649,"IL_D"
"Path5","IL_W","H_W",0.00649350649350649,"IL_W"
"Path6","IL_D","H_D",0.00324675324675325,"IL_D"
"Path6","IL_W","H_D",0.00324675324675325,"IL_W"
"Path6","IL_D","H_W",0.00324675324675325,"IL_D"
"Path6","IL_W","H_W",0.00324675324675325,"IL_W"
"Path8","IL_D","H_D",0.00347303763762379,"H_D"
"Path8","IL_W","H_D",0.00347303763762379,"H_D"
"Path8","IL_D","H_W",0.00347303763762379,"H_W"
"Path8","IL_W","H_W",0.00347303763762379,"H_W"
"Path9","H_W","H_D",0.00865800865800866,"H_D"
"Path9","IL_D","H_D",0.00347303763762379,"H_D"
"Path9","IL_W","H_D",0.00347303763762379,"H_D"
"Path9","IL_D","H_W",0.00347303763762379,"H_W"
"Path9","IL_W","H_W",0.00347303763762379,"H_W"
"Path10","H_W","H_D",0.0493506493506494,"H_W"
"Path10","IL_D","H_D",0.00324675324675325,"H_D"
"Path10","IL_W","H_D",0.00324675324675325,"H_D"
"Path10","IL_D","H_W",0.00324675324675325,"H_W"
"Path10","IL_W","H_W",0.00324675324675325,"H_W"
"Path12","H_W","H_D",0.0493506493506494,"H_W"
"Path12","IL_D","H_D",0.00324675324675325,"H_D"
"Path12","IL_W","H_D",0.00324675324675325,"H_D"
"Path12","IL_D","H_W",0.00324675324675325,"H_W"
"Path12","IL_W","H_W",0.00324675324675325,"H_W"
"Path14","IL_D","H_D",0.00649350649350649,"IL_D"
"Path14","IL_D","H_W",0.00649350649350649,"IL_D"
"Path15","IL_D","H_W",0.012987012987013,"IL_D"
"Path15","IL_W","H_W",0.012987012987013,"IL_W"
"Path16","H_W","H_D",0.012987012987013,"H_D"
"Path16","IL_D","H_D",0.012987012987013,"H_D"
"Path17","IL_D","H_D",0.00347303763762379,"H_D"
