"Metabolite","Comparison","W","p_value","Higher"
"Path1","IL vs H",0,7.39602301050679e-07,"H"
"Path2","IL vs H",4,8.87522761260815e-06,"H"
"Path3","IL vs H",144,7.39602301050679e-07,"IL"
"Path4","IL vs H",39,0.0596570612050488,"H"
"Path5","IL vs H",142,2.95840920420272e-06,"IL"
"Path6","IL vs H",144,7.39602301050679e-07,"IL"
"Path7","IL vs H",120,0.00451305324101124,"IL"
"Path8","IL vs H",0,1.02689156151545e-05,"H"
"Path9","IL vs H",0,1.02689156151545e-05,"H"
"Path10","IL vs H",0,7.39602301050679e-07,"H"
"Path11","IL vs H",72,1,"H"
"Path12","IL vs H",0,7.39602301050679e-07,"H"
"Path13","IL vs H",79,0.712535075639127,"H"
"Path14","IL vs H",134,0.000102804719846044,"IL"
"Path15","IL vs H",133,0.000144222448704882,"IL"
"Path16","IL vs H",39,0.0596570612050488,"H"
"Path17","IL vs H",0,1.02689156151545e-05,"H"
"Path18","IL vs H",60,0.513722581093694,"H"
"Path19","IL vs H",0,1.02689156151545e-05,"H"
"Path20","IL vs H",37,0.0449019952990878,"H"
"Path21","IL vs H",105,0.0596570612050488,"IL"
"Path22","IL vs H",133,0.000144222448704882,"IL"
"Path23","IL vs H",35,0.0346929149330921,"H"
"Path24","IL vs H",144,7.39602301050679e-07,"IL"
"Path25","IL vs H",27,0.00829316060168126,"H"
"Path26","IL vs H",24,0.00108433256167357,"H"
"Path27","IL vs H",144,7.39602301050679e-07,"IL"
"Path28","IL vs H",19,0.00184947750625069,"H"
"Path29","IL vs H",130,0.000891652557670341,"IL"
"Path30","IL vs H",0,1.8306736618623e-05,"H"
"Path31","IL vs H",0,1.02689156151545e-05,"H"
"Path32","IL vs H",0,1.02689156151545e-05,"H"
"Path33","IL vs H",0,7.39602301050679e-07,"H"
"Path34","IL vs H",72,1,"H"
"Path35","IL vs H",0,7.39602301050679e-07,"H"
"Path36","IL vs H",26,0.00681173719267675,"H"
"Path37","IL vs H",134,0.000102804719846044,"IL"
"Path38","IL vs H",39,0.0596570612050488,"H"
"Path39","IL vs H",0,1.02689156151545e-05,"H"
"Path40","IL vs H",0,1.02689156151545e-05,"H"
"Path41","IL vs H",12,0.000201171825885785,"H"
"Path42","IL vs H",0,1.02689156151545e-05,"H"
"Path43","IL vs H",37,0.0449019952990878,"H"
"Path44","IL vs H",0,2.60429556087905e-05,"H"
"Path45","IL vs H",105,0.0596570612050488,"IL"
"Path46","IL vs H",103,0.0780243447493414,"IL"
"Path47","IL vs H",135,7.17414232019159e-05,"IL"
"Path48","IL vs H",35,0.0346929149330921,"H"
"Path49","IL vs H",8,4.95533541703955e-05,"H"
"Path50","IL vs H",144,7.39602301050679e-07,"IL"
"Path51","IL vs H",128,0.000656027241031952,"IL"
"Path52","IL vs H",0,1.02689156151545e-05,"H"
"Path53","IL vs H",44,0.113502327528441,"H"
"Path54","IL vs H",24,0.00108433256167357,"H"
"Path55","IL vs H",144,7.39602301050679e-07,"IL"
"Path56","IL vs H",45,0.127687899662593,"H"
